source,source_id,doi,pmid,title,abstract,authors,year,journal,url,fetched_at,reviewer_1_decision,reviewer_1_reason,reviewer_2_decision,reviewer_2_reason,consensus,decision,reason
europepmc,42023167,10.1016/j.eclinm.2026.103874,42023167.0,"Metformin and epigenetic age in non-diabetic older people with HIV in Madrid (METFORAGING): a double-blind, randomised, placebo-controlled, pilot trial.","<h4>Background</h4>Metformin is increasingly studied as a potential geroprotective agent in the general population. We aimed to test the efficacy and safety of metformin to improve epigenetic age in older, well-controlled, non-diabetic people living with HIV.<h4>Methods</h4>METFORAGING was a single-centre, double-blind, randomised, parallel-group, placebo-controlled pilot trial. Non-diabetic participants living with HIV who were aged 50 years or older, virologically suppressed, on a stable antiretroviral regimen with undetectable viral load for at least 12 months, and had CD4<sup>+</sup> T-cell counts >500 cells/μL were recruited from the HIV clinic at La Paz University Hospital (Madrid, Spain). Participants were randomly assigned (1:1) to receive 850 mg oral metformin or matching placebo twice a day for 96 weeks. Participants, investigators, and outcome assessors were masked to treatment allocation. Study visits were conducted at baseline and at weeks 4, 8, 24, 48, 72, and 96. Adherence was evaluated at each visit through pill count and self-report. At baseline and week 96, whole-blood samples were used to calculate biological age across 11 epigenetic biomarkers: first-generation epigenetic clocks (Horvath's clock and Hannum's clock), second-generation epigenetic clocks (PhenoAge and GrimAge V2), principal component-derived epigenetic clocks (PC-Horvath, PC-Hannum, PC-PhenoAge and PC-GrimAge), a third-generation clock (DunedinPACE), and the DNA methylation-based estimator of blood telomere length (DNAmTL). The primary outcome was the adjusted between-group difference in epigenetic age acceleration (EAA) change measured by the PhenoAge clock at week 96 in the per-protocol population. Analyses were stratified by age, sex, baseline CD4 count, smoking status, statin treatment, and route of HIV transmission. The trial was registered with EudraCT, 2021-003299-15.<h4>Findings</h4>Between March 2, and Oct 2, 2022, 55 individuals were screened, and 40 were randomly assigned to metformin (n = 19) or placebo (n = 21). Enrolment was closed at 40 participants because of slow recruitment, below the pragmatic target of 60 outlined in the study protocol. Median age was 56.4 years (IQR 53.0-60.8), 12 (30%) were female, and 35 (87.5%) self-identified as White. Mean adherence by pill count was 97.5% in both groups. 35 (87.5%) of 40 participants continued treatment to 96 weeks (n = 17 in the metformin group and n = 18 in the placebo group; per-protocol population). At week 96, the adjusted between-group difference (metformin vs. placebo) for PhenoAge EAA was -1.02 years (95% confidence interval [CI] -5.30 to 3.26; p = 0.627). 48 adverse events occurred in 16 (84%) of 19 participants who received metformin and 48 adverse events occurred in 19 (90%) of 21 participants who received placebo. In the metformin group, no serious adverse events were attributed to the medication and no deaths or hospitalisation occurred.<h4>Interpretation</h4>Although no significant difference was noted in the primary outcome between groups, these preliminary findings support the feasibility of geroscience-trials in this population and support further investigation of metformin in larger, adequately powered studies to determine whether metformin can modify biological ageing in people with HIV.<h4>Funding</h4>Fondo de Investigaciones Sanitarias, Instituto de Salud Carlos III, and the European Union.","Marcelo-Calvo C, Esteban-Cantos A, Jurado F, Montejano R, Rodríguez-Centeno J, Gutiérrez-García L, de Gea-Grela A, Martínez-Martín P, Vidal AD, de Miguel R, Oñoro-López CM, González JC, Martín-Carbonero L, Bernardino JI, Colino RM, Pérez de Villar NG, Rodés B, Arribas JR.",2026.0,,https://doi.org/10.1016/j.eclinm.2026.103874,2026-05-18T15:41:31Z,exclude,protocol_only,exclude,protocol_only,agree,exclude,protocol_only
europepmc,41826710,10.1038/s43587-026-01066-6,41826710.0,Longitudinal changes in epigenetic clocks predict survival in the InCHIANTI cohort.,"Epigenetic clocks derived from DNA methylation patterns are among the most promising biomarkers of biological aging<sup>1-7</sup>, as they capture molecular signatures that predict morbidity and mortality beyond chronological age. Although cross-sectional assessments of epigenetic age have been linked consistently to health outcomes and lifespan, it remains unclear whether the rate of change in these clocks over time provides additional insight into aging trajectories. In this longitudinal study of 699 adults from the InCHIANTI cohort followed for up to 24 years, we evaluated whether temporal acceleration of several epigenetic clocks-including first-, second- and third-generation epigenetic clocks-was associated with mortality. We found that faster increases in several clocks were linked robustly to higher risk of death, independent of baseline epigenetic age and other confounders. These findings suggest that dynamic changes in epigenetic aging reflect evolving health status and may serve as sensitive indicators for interventions aimed at extending healthspan and longevity.","Kuo PL, Moore AZ, Tanaka T, Belsky DW, Lu AT, Horvath S, Bandinelli S, Ferrucci L.",2026.0,,https://doi.org/10.1038/s43587-026-01066-6,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,41469193,10.1136/jnnp-2025-336802,41469193.0,Epigenetic ageing and the risk of Parkinson's disease.,"<h4>Background</h4>Estimators of biological age, such as epigenetic clocks, are promising biomarkers for neurological disorders where the risk significantly increases with age, such as Parkinson's disease (PD). The purpose of this study was to prospectively investigate whether epigenetic age acceleration can predict PD risk, age at PD onset and time to phenoconversion.<h4>Methods</h4>We conducted a prospective, nested case-control study within the Nurses' Health Study, including participants who provided two blood samples before being diagnosed with PD. DNA methylation profiles were obtained from 75 individuals who developed PD, 79 individuals who developed prodromal features suggestive of PD and 154 age-matched controls. We estimated epigenetic age acceleration using six different epigenetic clocks (Horvath, Hannum, PhenoAge, GrimAge, DunedinPACE and the cortical epigenetic clock) and assessed their associations with PD risk, age at PD onset and time to PD onset.<h4>Results</h4>Epigenetic age acceleration was not consistently associated with a higher PD risk, using estimates of biological ageing neither in the first sample (collected a median of 19 years before PD onset) nor in the second sample (collected a median of 8 years before PD onset). These results remained similar in multivariable models adjusted for smoking status, physical activity, body mass index, caffeine intake, alcohol intake and Mediterranean diet score. Furthermore, epigenetic age acceleration was not associated with earlier age at PD onset or time to PD phenoconversion.<h4>Conclusions</h4>In our study, epigenetic clock-based biomarkers do not reliably predict PD risk, age at PD onset or time to PD phenoconversion.","Peng X, Flores-Torres MH, Cortese M, Peng C, Hung AY, Schwarzschild M, Ascherio A, Bjornevik K.",2026.0,,https://doi.org/10.1136/jnnp-2025-336802,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,41923888,10.1177/11779322261433665,41923888.0,EpigeneticAgePipeline: An R Package for Comprehensive Assessment of Epigenetic Age Metrics From Methylation Microarrays.,"Epigenetic age is a biological age estimate based on nuclear DNA methylation patterns. Epigenetic clocks measure biological age by analyzing predictable changes in DNA methylation sites associated with aging. This study introduces EpigeneticAgePipeline, an R package that streamlines the estimation of epigenetic age metrics including Horvath, Horvath skin and blood, Hannum, PhenoAge/Levine, GrimAge (V1 and V2), and DunedinPACE plus additional acceleration metrics based on all other clocks. Quality control includes detection <i>P</i>-value filtering (sample- and probe-level), bead-count thresholds, and Illumina quality control intensity checks. EpigeneticAgePipeline supports Illumina Infinium methylation microarrays (HumanMethylation27, HumanMethylation450, HumanMethylationEPIC/EPICv2, and Human Methylation Screening Array). It offers functionalities including data preprocessing, normalization, cell count imputation, residual generation accounting for principal components and batch effects, and extensive visualizations for improved interpretability. Validation was performed using GEO data set GSE237561, confirming the accuracy of the pipeline. EpigeneticAgePipeline provides an integrated workflow from raw data to advanced statistical analyses and visualizations, improving usability over existing tools. In addition to the traditional clocks mentioned, the package also integrates a set of additional epigenetic age clocks (PedBE, Wu, TL, BLUP, and EN). Future updates will include emerging epigenetic age measures to maintain relevance in this evolving field.","Rayevskiy S, Le Q, Nguyen J, Chen SQ, Castellani CA.",2026.0,,https://doi.org/10.1177/11779322261433665,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,41988378,10.1021/acsptsci.6c00026,41988378.0,Translational Geroscience Strategies for Delaying Multimorbidity.,"The global rise in aging populations emphasizes an urgency to mitigate the escalating burden of chronic age-related diseases. This review discusses advances in geroscience to reframe aging as a modifiable risk factor rather than an inevitability. It explores emerging interventions that hold promise to delay or prevent multiple age-related pathologies concurrently by targeting conserved biological drivers of aging, genomic instability, epigenetic dysregulation, mitochondrial dysfunction, and stem cell exhaustion. Innovations in senolytics and epigenetic reprogramming exemplify transformative strategies to shift the medical paradigm from treating individual diseases to extending healthspan. Critical challenges in translation are addressed, including inconsistent intervention efficacy across species, safety concerns in cellular reprogramming, and ethical debates over prioritizing life versus health span. The review highlights sex-specific disparities in therapeutic outcomes and encourages precision-based approaches to ensure equitable benefits. This review further details a multidimensional roadmap to compress morbidity and redefine healthy aging by leveraging complex tools such as artificial intelligence-driven drug discovery, organ-on-a-chip models, and multiomics integration. It calls for stronger integration of mechanistic discoveries into clinical practice to promote a paradigm of aging balanced on resilience and vitality rather than decline.","Khanal P, Chand J, Patil VS, Singh L, Bhattacharya K.",2026.0,,https://doi.org/10.1021/acsptsci.6c00026,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,42010703,10.1186/s13148-026-02102-3,42010703.0,Later-generation epigenetic aging clocks outperform first-generation models in predicting survival in TCGA breast cancer.,"<h4>Background</h4>Epigenetic aging bridges the gap between biological and chronological age by exploiting DNA methylation (DNAm) patterns. Over the past decade, successive DNAm-based clocks have been introduced, beginning with the first-generation Horvath and Hannum models and extending to second-generation PhenoAge and the GrimAge family; complementary measures include DNAm-estimated telomere length and mitotic indices such as epiTOC/pcgtAge. We previously conducted a side-by-side evaluation of these metrics in colorectal cancer using publicly available data from The Cancer Genome Atlas (TCGA) COAD and READ cohorts, but an equally systematic assessment in breast cancer has been lacking.<h4>Result</h4>Here, using TCGA-BRCA tumor methylomes linked to clinical data (analytic n = 781), we compared seven metrics (Horvath, Hannum, PhenoAge, GrimAge1, GrimAge2, epiTOC/pcgtAge, DNAmTL) via Kaplan-Meier grouping (median and tertiles) and Cox models adjusted for menopausal status, age at diagnosis, receptor subtype, stage, race, and ethnicity, with overall survival truncated at 4000 days. Our analysis reproduced expected benchmark patterns: Triple Negative Breast Cancer (TNBC) had the worst outcomes, Luminal A the best, and higher stage and older age predicted poorer survival, supporting analytic validity. We found first-generation clocks did not separate survival, whereas PhenoAge and GrimAge2 stratified outcomes; in multivariable analyses, only GrimAge1 provided independent prognostic information. DNAmTL was inversely associated with mortality in univariate models, and epiTOC stratified tertiles but showed wide, nonsignificant Cox estimates.<h4>Conclusions</h4>Second-generation clocks demonstrated stronger prognostic signal than first-generation models in unadjusted analyses. Among them, GrimAge1 retained independent prognostic value beyond established clinicopathologic factors in breast cancer, supporting further external validation with richer covariates to refine clinical utility.","Tan X, Pellegrini M, Jung SY.",2026.0,,https://doi.org/10.1186/s13148-026-02102-3,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,40856171,10.1080/17501911.2025.2550932,40856171.0,"DNA methylation-based health predictors: advances, applications, and perspectives.","DNA methylation (DNAm) has emerged as a powerful and dynamic biomarker for predicting health outcomes, biological aging, and disease risk. Unlike static genetic variants, DNAm is dynamic and influenced by environmental, lifestyle, and pathological factors, making it highly suitable for applications in personalized medicine. This review provides a comprehensive synthesis of recent advances in DNAm-based predictors, including epigenetic clocks, exposure biomarkers, disease risk models, and trait-specific estimators. We describe the diverse methodological frameworks underpinning these predictors, such as penalized regression, surrogate modeling and deep learning. We discuss their performance across various preprocessing strategies and study populations. Additionally, we highlight clinical and research applications, ethical considerations, and emerging challenges, such as issues of reproducibility, tissue specificity, population generalizability, and interpretability. Looking forward, we explore future directions emphasizing artificial intelligence, multiomics integration, and longitudinal modeling. By critically assessing current limitations and technological innovations, this review outlines a roadmap for advancing the development, validation, and responsible implementation of DNAm-based health predictors.",Xu Z.,2025.0,,https://doi.org/10.1080/17501911.2025.2550932,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,PMC13033001,,,Epigenetic aging is a hallmark of HIV pathogenesis and phenotypic outcomes,,"Johnston C, Petersen K, Corley M.",2026.0,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13033001/?tool=EBI,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,41645353,10.1186/s41043-026-01255-4,41645353.0,Epigenetic age and cardiometabolic disease in Guatemalan adults: a cross-sectional analysis.,"<h4>Background</h4>Epigenetic clocks, biomarkers of aging, show older biological ages among individuals with cardiometabolic disease. Epigenetic age acceleration, often calculated as the residuals from regressing epigenetic age on chronological age, reflects when an individual's biological age is older or younger than expected. Most clocks were developed and validated in Western populations. This study examined associations of epigenetic age acceleration with obesity, hypertension, diabetes, and metabolic syndrome among Guatemalan adults.<h4>Methods</h4>We conducted a cross-sectional analysis of data from participants in the Institute of Nutrition of Central America and Panama (INCAP) Nutritional Supplementation Trial Cohort. DNA methylation (DNAm) was assessed in buffy coat samples using the MethylationEPIC v2 array and standard quality control procedures. Epigenetic age was quantified using DunedinPACE, PhenoAge, and GrimAge. Linear regression models were used to assess associations of obesity, diabetes, hypertension, and metabolic syndrome with epigenetic age acceleration. Dependent variables were DunedinPACE values and PhenoAge and GrimAge residuals. Covariates included sex, birth year, and a clustering variable to account for sibships.<h4>Results</h4>We analyzed data from 1,095 adults (mean age 45 y; 60.3% female; 73.3% overweight or obese; 37.8% with hypertension; 15.4% with diabetes; 66.9% with metabolic syndrome). DunedinPACE (mean 1.2, SD 0.1), PhenoAge (mean 46.7, SD 6.7) and GrimAge (mean 56.3, SD 4.1) all indicate accelerated biological aging. Pearson correlations among the clocks were ≥ 0.5. DunedinPACE and PhenoAge indicated age acceleration among women (DunedinPACE β = 0.04; 95% CI: 0.03, 0.05; PhenoAge β = 0.94; 95% CI: 0.28, 1.60) whereas GrimAge suggested age acceleration among men (β= - 1.02; 95% CI: - 1.31, - 0.72). All three clocks showed accelerated aging among individuals with diabetes (DunedinPACE β = 0.09; 95% CI: 0.07, 0.10; PhenoAge β = 2.69; 95% CI: 1.63, 3.74; GrimAge β = 1.18; 95% CI: 0.71, 1.65). DunedinPACE indicated a faster rate of aging across all cardiometabolic conditions examined, whereas the strength and consistency of associations for PhenoAge and GrimAge varied by condition.<h4>Conclusions</h4>We observed consistent associations of accelerated DunedinPACE with multiple cardiometabolic conditions. All epigenetic clocks showed associations of epigenetic age acceleration with diabetes. These findings emphasize the need for longitudinal analyses to determine the direction and causality of these relationships.","Chapnick MA, Yu EA, Smith AK, Conneely KN, Ramírez-Zea M, Qin ZS, Staimez LR, Vaccarino V, Stein AD.",2026.0,,https://doi.org/10.1186/s41043-026-01255-4,2026-05-18T15:41:31Z,flag,needs_human_review_clock_or_rct_uncertain,flag,needs_human_review_clock_or_rct_uncertain,agree,flag,needs_human_review_clock_or_rct_uncertain
europepmc,40983577,10.1136/bmjopen-2024-095895,40983577.0,Caregiving stress and biological aging measured by epigenetic clocks: protocol for a scoping review.,"<h4>Introduction</h4>Chronic caregiving stress accelerates biological aging, reflecting disease risk and mortality; however, the underlying mechanisms are poorly understood. Epigenetic clocks, which can be estimated from levels of DNA methylation in a subset of cytosine-phosphate-guanine loci in the genome, have been proposed as a promising biological age estimator. The objectives of this scoping review are to systematically scope the literature on the effects of stress on biological ageing measured by epigenetic clocks in family caregivers of patients diagnosed with cancer.<h4>Methods and analysis</h4>This review will be conducted following Joanna Briggs Institute methodology based on Arksey and O'Malley's and Levac <i>et al</i>'s framework and reported using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines for scoping reviews. Studies will be included if (1) the studies focus on unpaid family caregivers of patients diagnosed with cancer; (2) caregivers are adults (≥18 years of age) and (3) the study measured epigenetic clocks. The search will encompass literature and peer-reviewed literature in PubMed/MEDLINE (National Library of Medicine), Embase (Elsevier), Cochrane CENTRAL (Wiley & Sons), Web of Science: Core Collection (Clarivate Analytics), CINAHL (EBSCO<i>host</i>) and PsycInfo (American Psychological Association).<h4>Ethics and dissemination</h4>Since the scoping review methodology focuses on published literature, this study does not require ethical approval. We will publish our findings in a peer-reviewed journal and plan to disseminate our work in conferences and scientific meetings.<h4>Scoping review registration</h4>Open Science Framework (https://doi.org/10.17605/OSF.IO/KW7RT).","Lee LJ, Son E, Butera G, Park J, Hussain T, Wallen GR.",2025.0,,https://doi.org/10.1136/bmjopen-2024-095895,2026-05-18T15:41:31Z,exclude,review,exclude,review,agree,exclude,review
