study_id,doi,pmid,retrieval_method,retrieval_status,file_path,file_size_bytes,has_results_section,has_numeric_table
OlasoGonzalezG_2026_88c470,10.1111/acel.70376,41677077.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\OlasoGonzalezG_2026_88c470.xml,123747,yes,no
LinS_2025_c63679,10.1080/07853890.2025.2496409,40297922.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\LinS_2025_c63679.xml,152116,no,yes
ChapnickM_2025_d1605d,10.1101/2025.09.25.678652,,none,failed:pdf_download_failed,,0,unknown,unknown
StanfieldB_2026_967335,10.1002/jcsm.70274,41985884.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\StanfieldB_2026_967335.xml,174711,yes,yes
BozackAK_2025_7aa71b,10.1038/s41514-025-00298-x,41354984.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\BozackAK_2025_7aa71b.xml,156282,yes,yes
RobinsonLA_2026_d1a7b4,10.3389/fnut.2026.1750030,41717034.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\RobinsonLA_2026_d1a7b4.xml,155990,yes,yes
NwanajiEnweremJC_2024_cd243f,10.1093/eep/dvae017,39416749.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\NwanajiEnweremJC_2024_cd243f.xml,64788,yes,yes
CorleyMJ_2025_ad19fa,10.1101/2025.07.09.25331038,,unpaywall_pdf,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\CorleyMJ_2025_ad19fa.pdf,2032213,unknown,unknown
RslerW_2026_9ed59d,10.1038/s41514-026-00360-2,41872206.0,unpaywall_pdf,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\RslerW_2026_9ed59d.pdf,880615,unknown,unknown
BozackAK_2025_90311c,10.1016/j.ajcnut.2025.05.029,40456316.0,epmc_xml,retrieved,anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\BozackAK_2025_90311c.xml,165035,yes,yes
