study_id,clock,arm,timepoint,value_type,mean,dispersion,dispersion_type,n,source_table_or_section,evidence_snippet,confidence
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,baseline,raw_clock_age,74.9,1.11,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Control ( n = 4) | T1 (Pre)' cell='74.90 ± 1.11',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,post,raw_clock_age,75.47,0.32,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Control ( n = 4) | T2 (Post)' cell='75.47 ± 0.32',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,change,change_score,0.57,0.8,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Control ( n = 4) | Mean Difference' cell='0.57 ± 0.80',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,baseline,raw_clock_age,66.77,7.68,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Intervention ( n = 6) | T1 (Pre)' cell='66.77 ± 7.68',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,post,raw_clock_age,65.93,8.94,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Intervention ( n = 6) | T2 (Post)' cell='65.93 ± 8.94',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,change,change_score,0.83,1.26,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='DNA methylation age (years) *' col='Intervention ( n = 6) | Mean Difference' cell='0.83 ± 1.26',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,baseline,raw_clock_age,2.1,1.91,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Control ( n = 4) | T1 (Pre)' cell='2.10 ± 1.91',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,post,raw_clock_age,1.47,1.89,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Control ( n = 4) | T2 (Post)' cell='1.47 ± 1.89',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,control,change,change_score,0.57,0.8,sd,4,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Control ( n = 4) | Mean Difference' cell='0.57 ± 0.80',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,baseline,raw_clock_age,2.1,4.79,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Intervention ( n = 6) | T1 (Pre)' cell='2.10 ± 4.79',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,post,raw_clock_age,1.27,4.02,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Intervention ( n = 6) | T2 (Post)' cell='1.27 ± 4.02',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,change,change_score,0.83,1.26,sd,6,"XML Table 3 (Table 3 | DNA methylation age, symptoms, and resilience changes.)",row='Age acceleration (years) *' col='Intervention ( n = 6) | Mean Difference' cell='0.83 ± 1.26',high
LukkahataiN_2023_edac4e,UNSPECIFIED_EPIGENETIC_AGE,intervention,change,change_score,0.83,1.26,sd,,Results (prose),"Participants in the intervention group had a slightly decreased DNA methylation age and age acceleration after completing the exercise program (mean difference = −0.83 ± 1.26), but it was not significant.",medium
