pmcid,pmid,doi,title,year,journal,url,evidence_source_set,intervention_node_prelim,article_title_mined,first_reviewer_fulltext_decision,first_reviewer_reason,rct_signal,frailty_signal,sarcopenia_signal,older_adult_signal,intervention_signal,comparator_signal,outcome_signal,protocol_or_review_signal,disease_specific_signal,hospital_or_residential_signal,community_home_signal,detected_outcomes,randomization_snippet,intervention_snippet,comparator_snippet,results_snippet,second_reviewer_decision,consensus_decision,consensus_reason
PMC10720710,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",2023.0,,https://europepmc.org/article/MED/38098822,expanded_accessible_search,nutrition_only,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study",include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;sppb;grip_strength;quality_of_life;adherence;adverse_events,"ical function, physical activity, sleep patterns, and nutritional status in community-dwelling older adults with at least 1 Fried’s frailty criteria. Methods A 6-month multicentre randomized controlled trial was conducted from March 2022 to February 2023 in 14 health centres located in Cadiz and Malaga, Spain. The educational intervention consisted of 4 group sessions","lic Health 2296-2565 Frontiers Media SA PMC10720710 PMC10720710.1 10720710 10720710 38098822 10.3389/fpubh.2023.1267666 1 Public Health Original Research Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study Casals Cristina 1","ed a significant group-time interaction in the physical function evaluated with a large effect on Short Physical Performance Battery score (η2p = 0.179, −0.1 [−1.2–1.0] points for control group vs. 1.0 [0.0–3.0] points for educational group, p < 0.001), and an effect on the 4-meter gait test ((η2p = 0.122, 0.5 [0.1–0.0] s for control group vs. –0.4 [−0.5– −0.3] s for edu","Results The results showed a significant group-time interaction in the physical function evaluated with a large effect on Short Physical Performance Battery score (η2p = 0.179, −0.1 [−1.2–1.0] points for control group vs. 1.0 [0.0–3.0] points for educational group, p < 0.001), and an effect on the 4-meter gait test ((η2p = 0.122, 0.5 [0.1–0.0] s for control group vs. –0.4 [−0.5– −0.3] s for educational group, p < 0.001), and the 5-repetition sit-to-stand test (η2p = 0.136, 1.0 [0.0–1.2] s for control group vs. −4.3 [−7.0– −2.3] for educational group, p < 0.001). Additionally, the use of accelerometers to assess physical activity, inactivity, and sleep patterns revealed a significant small effect in the number of awakenings at night ((η2p = 0.040, 1.1 [−0.5–3.4] awakenings for control group vs. 0.0 [−2.2–0.0] awakenings for educational group, p = 0.009). The findings also highlighted a significant medium effect regarding malnutrition risk, which was assessed using the Mini-Nutritional Assessment score (η2p = 0.088, −0.7 [−2.3–1.5] points for control group vs. 1.5 [−0.5–3.0] points for educational group, p < 0.001).
3 Results Table 1 displays the sociodemographic and medical characteristics of our participants. It’s noteworthy that the intervention group had a higher proportion of women, was characterized by older age, and exhibited a higher level of education. Due to these differences, we have decided to include these variables as covariates in the forthcoming analysis. Table 2 presents the frailty characteristics of the study participants. In the baseline assessment, the intervention group exhibited lower scores on Fried’s criteria and a higher number of pre-frail participants compared to the control group. Additionally, a larger proportion of participants in the contro",,,
PMC10826892,37458963.0,10.1007/s40520-023-02504-w,Tai Chi versus health education as a frailty intervention for community-dwelling older adults with hypertension.,2023.0,,https://europepmc.org/article/MED/37458963,expanded_accessible_search,mind_body,Tai Chi versus Health Education as a Frailty Intervention for Community-Dwelling Older Adults with Hypertension.,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;adl;falls;quality_of_life;adherence;adverse_events,"oup Tai Chi (TC) practice improved frailty relative to Healthy Aging Practice-centered Education (HAP-E) classes in older adults with hypertension. Methods Secondary analysis of a randomized controlled trial in San Diego County, USA, of 167 community-dwelling individuals aged ≥60 yrs (70% female; 72.1±7.5 yrs), defined as non-frail (66%) or frail (34%) based on 53-ite",yes pmc-collection-title NIHPA Author Manuscripts PMC10826892 PMC10826892.1 10826892 10826892 NIHMS1942184 37458963 10.1007/s40520-023-02504-w NIHMS1942184 NIHPA1942184 1 Article Tai Chi versus Health Education as a Frailty Intervention for Community-Dwelling Older Adults with Hypertension. Kohn Jordan N. Ph.D. 1 2 * Lobo Judith D. Ph.D. 3 * Troyer Emily A. M.D. 3,"r CONSORT diagram and complete study inclusion and exclusion criteria. 2.2. Behavioral Interventions Participants attended either 12-week, 120-min/week of TC or HAP-E classes as a comparator, administered in groups of 5 to 12 persons. TC sessions were two, 60-min per week whereas HAP-E was one, 120-min weekly session. Individual attendance was calculated as a proporti","Results One hundred thirty-one participants completed post-intervention assessments. Frailty decreased pre-to-post intervention in the TC (ΔFI=−0.016, d =−0.39, −0.75–−0.03), but not the HAP-E arm (ΔFI=−0.009, d =−0.13, −0.52–0.27), despite no significant group differences between the TC and HAP-E arms ( d =−0.11, −0.46–0.23). Furthermore, greater odds of improved FI were observed for frail participants in the TC (OR=3.84, 1.14–14.9), but not the HAP-E (OR=1.34, 0.39–4.56) arm. Subgroup analysis indicated treatment effects in TC were attributed to frail participants (frail: ΔFI=−0.035, d =−0.68, −1.26–−0.08; non-frail: ΔFI=−0.005, d =−0.19, −0.59–0.22), which was not the case in the HAP-E arm (frail: ΔFI=−0.017, d =−0.23, −0.81–0.35; non-frail: ΔFI=−0.003, d =−0.07, −0.47–0.33). Frail participants were no more likely to drop-out of the study than non-frail (71% vs. 69% retained).
3. RESULTS 3.1. Participant characteristics and intervention attendance Baseline sociodemographic and clinical characteristics of the study population are summarized in Table 1 . A total of 182 adults aged 60–93 were randomly assigned to 12 weeks of either TC or HAP-E ( Supplemental Figure 1 ). Altogether, 167 participants (70% female; age: 72.1±7.5 yrs) completed pre-intervention (T1) assessments (see Methods ). All but eleven participants who completed T1 assessments attended at least 1 class ( N =156; HAP-E: N =75; TC: N =81), and 131 participants completed post-intervention (T2) assessments sufficient to compute FI at T2 (HAP-E: N =62; TC: N =69). Participants who attended ≥1 class but did not complete T2 assessments (HAP-E: N =13; TC: N =12) did not differ from those who completed T2 by FI, or by age, sex, race, marital status, education, MoCA score, SBP, DBP, or BMI. Attendance in the TC ",,,
PMC10851592,38326734.0,10.1186/s12877-024-04736-5,Effects of high-intensity training on fatty infiltration in paraspinal muscles in elderly males with osteosarcopenia - the randomized controlled FrOST study.,2024.0,,https://europepmc.org/article/MED/38326734,expanded_accessible_search,exercise_only,Effects of high-intensity training on fatty infiltration in paraspinal muscles in elderly males with osteosarcopenia – the randomized controlled FrOST study,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,frailty;grip_strength;falls;quality_of_life;adherence,1592 38326734 10.1186/s12877-024-04736-5 4736 1 Research Effects of high-intensity training on fatty infiltration in paraspinal muscles in elderly males with osteosarcopenia – the randomized controlled FrOST study http://orcid.org/0000-0002-0840-9420 Kircher Kaja kaja.kk.kircher@fau.de 1 2 3 Chaudry Oliver 2 Nagel Armin M. 3 Ghasemikaram Mansour 1 Uder Michael 3 Jakob,"ta from the randomised controlled FrOST trial, which enrolled community-dwelling osteosarcopenic men aged > 72 years randomly allocated to 16 months of twice-weekly high-intensity resistance training (HIRT) or a non-training control group. MR Dixon imaging was used to quantify the effects of HIRT on muscle fat infiltration in the paraspinal muscles, determined as chan",", which enrolled community-dwelling osteosarcopenic men aged > 72 years randomly allocated to 16 months of twice-weekly high-intensity resistance training (HIRT) or a non-training control group. MR Dixon imaging was used to quantify the effects of HIRT on muscle fat infiltration in the paraspinal muscles, determined as changes in muscle tissue, fat faction and intermuscu","Results After 16 months of intervention, 15 men from the HIRT and 16 men from the CG were included in the MRI analysis. In summary, no positive effects on the fat infiltration of the erector spinae and psoas major muscles were observed.
Results Baseline characteristics are shown in Table 1 . Apart from protein intake prior to supplementation, there were no significant differences between the two study groups at baseline [ 2 ]. As shown in Fig. 2 , 15 HIRT men (71%) and 16 CG men (73%) with MR data were included in the statistical analysis [ 19 ]. The attendance rate of the HIRT group was very high (95 ± 5%). In parallel, compliance with whey-protein, calcium and Vit-D supplementation, which was monitored by telephone calls, delivery logs and personal interviews, showed an overlap of 82% (calcium) to 94% (protein) between the prescribed doses and the amount of supplements taken by the participants. No adverse effects or injuries were observed during the training sessions. Biweekly telephone calls revealed no changes in physical activity or exercise in the CG. At the same time, no changes in parameters (e.g. diseases, medication, and lifestyle) that could have confounded our results were identified through the follow-up questionnaires or personal interviews. Table 1 Baseline characteristics of exercise and control groups Variable HIRT ( n = 21) CG ( n = 22) p Age [years] 77.8 ± 3.6 79.2 ± 4.7 .262 BMD Lumbar Spine [mg/cm 2 ] 1.054 ± .142 0.987 ± .115 .140 BMD Femoral Neck [mg/cm 2 ] 0.894 ± .084 0.869 ± .094 .364 Body Mass Index [kg/m 2 ] 25.0 ± 3.0 24.5 ± 1.9 .515 Calcium Intake (mg/d) f 802 ± 226 833 ± 282 .636 Energy Intake [MJ/d] e 8.84 ± 1.71 9.39 ± 2.42 .407 Exercise per week [min] 59 ± 56 46 ± 52 .780 Fat intake [g/d] 88.4 ± 33.5 81.1 ± 21.6 .208 LLFDI [Index] c 1.",,,
PMC11411904,39300347.0,10.1186/s12877-024-05351-0,Hybrid model of care for older persons for improvement of frailty index-a community-based interventional study in an urban setting.,2024.0,,https://europepmc.org/article/MED/39300347,expanded_accessible_search,multidomain,Hybrid model of care for older persons for improvement of frailty index—a community-based interventional study in an urban setting,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;sppb;adl;falls;quality_of_life;adherence;adverse_events,"016. p. 82–7. 3. Li CM Chen CY Li CY Wang WD Wu SC The effectiveness of a comprehensive geriatric assessment intervention program for frailty in community-dwelling older people: a randomized, controlled trial Arch Gerontol Geriatr 2010 50 Suppl 1 S39 42 10.1016/S0167-4943(10)70011-X 20171455 Li CM, Chen CY, Li CY, Wang WD, Wu SC. The effectiveness of a comprehensive g",11904 PMC11411904.1 11411904 11411904 39300347 10.1186/s12877-024-05351-0 5351 1 Research Hybrid model of care for older persons for improvement of frailty index—a community-based interventional study in an urban setting Baskaran T B Pritish 1 2 Raghav Pankaja raghavpankaja3@gmail.com drpankajaraghav@gmail.com 1 Naveen Kikkeri Hanumantha Setty 1 1 https://ror.org/05e15a,"le and SPPB scores were used to measure the outcomes. Results 128 older persons and their primary caregivers were recruited. Median age was 70 and 67 years in the intervention and control group respectively, with majority being males. The median frailty index at baseline was 0.36 in both the groups, with improvement in intervention group (0.20) and worsening in control g","Results 128 older persons and their primary caregivers were recruited. Median age was 70 and 67 years in the intervention and control group respectively, with majority being males. The median frailty index at baseline was 0.36 in both the groups, with improvement in intervention group (0.20) and worsening in control group (0.44) at end-line. From the DID analysis, a reduction of 0.19 points of frailty index was observed (even after adjustment for co-variates) in the intervention group, as compared to the control group. Also, it was observed that age and gender of the old person, their per capita income and the family support played an interactive effect in improvement of the frailty index. There was a significant difference in SPPB scores as well, between the groups [5 (1) in CG vs. 7 (2) in IG, p < 0.001].
Results A total of 128 elderly participants and their primary caregivers were recruited after initial screening for eligibility. Baseline assessment was done in the residences of the eligible participants for three months for 63 persons in the intervention group and 65 in the control group. Intervention to the participants were delivered over a period of six months, with compliance being ensured through telephonic reminders, and wherever required, the elderly in both the groups were tele-consulted and appropriate referrals were made. The follow-up assessment was done for a period of three months after the intervention period. Three in the intervention group and two older persons in the control group had expired, and two more in the control group had moved out of town even before the intervention period. So they were completely excluded from the study. Following the intervention period, follow-up assessment was done among 57 participants in the intervention group and ",,,
PMC11523852,39478450.0,10.1186/s12877-024-05464-6,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,2024.0,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/39478450/,original_high_confidence,multicomponent_exercise,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;grip_strength;falls;quality_of_life;adherence;adverse_events,4-6 5464 1 Research Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial Fang Juan 1 2 Ren Jianping jpren2016@163.com 1 4 Wang Jinjing 1 Qiu Xiantao 1 Zhang Shiyan 1 Yuan Shuang 1 Wu Liangfeng 1 Xie Lin 3 1 https://ror.org/014v1mr15 gr,iatr BMC Geriatr 33 bmcgeri BMC Geriatrics 1471-2318 BMC PMC11523852 PMC11523852.1 11523852 11523852 39478450 10.1186/s12877-024-05464-6 5464 1 Research Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial Fang Juan 1 2 Ren Jianping,"ntion group performed exercise three times a week for 24 weeks, once at a community health service station instructed by two researchers and two times at home. Participants in the control group were given one-time advice on physical activity. The assessor was the only one blinded. The primary outcome was the reversal rate of pre-frailty. The secondary outcomes included s","Results One hundred and forty-four participants were randomized into two groups ( n = 72 in the intervention group and n = 72 in the control group) and analyzed. After 24 weeks, the proportion of pre-frailty was significantly lower in the intervention group than in control (31.8% versus 74.6%, P < 0.001). The absolute risk reduction was 42.8% [95% CI, 25.1–57.1]. In the 8th week and the 24th week, the frailty score of the intervention group was significantly lower than that of the control group. There were significant improvements in self-efficacy at week 2, week 8, and week 24. In weeks 8 and 24, participants in the intervention group reported a higher quality of life than the control group. There were no exercise-related injuries or falls among the participants.
Results Participants’ demographic and clinical characteristics A total of 220 community-dwelling older adults were screened. Among them, 144 were enrolled in the trial and randomly allocated to the control group ( n = 72) or intervention group ( n = 72). Five participants in the control and six in the intervention group were lost to the follow-up. Figure 2 shows the study flow diagram. There were no exercise-related injuries or falls among the participants. There were 72 sessions for each participant in the intervention group; the attendance ranged from 43 to 72 times, averaging 62. The attendance rate was tracked using on-site check-in (researcher-reported) and exercise logs(self-reported). Participants were between 60 and 85 years old, 94 (65.3%) were female, and all were assessed with pre-frailty with a mean Fried score of 1.58 ± 0.50. In the intervention group, the mean age of participants was 73.96 (7.20) years; 45 (62.5%) were female. Baseline sample characteristics for intervention and control groups ar",,,
PMC12092390,40400914.0,10.3389/fnagi.2025.1581892,Multi-pathway blood biomarkers to target and monitor multidimensional prevention of cognitive and functional decline (nested in the IN-TeMPO study framed within the world-wide FINGERS network).,2025.0,,https://europepmc.org/article/MED/40400914,expanded_accessible_search,multidomain,Multi-pathway blood biomarkers to target and monitor multidimensional prevention of cognitive and functional decline (nested in the IN-TeMPO study framed within the world-wide FINGERS network),include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;quality_of_life;adherence,"ging represents a major challenge. To date, multidimensional approaches seem to be effective in reducing or delaying the onset of age-related diseases. Objectives The multicentric randomized controlled trial IN-TeMPO (ItaliaN study with Tailored Multidomain interventions to Prevent functional and cognitive decline in community-dwelling Older adults, ClinicalTrials.gov","o be effective in reducing or delaying the onset of age-related diseases. Objectives The multicentric randomized controlled trial IN-TeMPO (ItaliaN study with Tailored Multidomain interventions to Prevent functional and cognitive decline in community-dwelling Older adults, ClinicalTrials.gov ID NCT06248723 ), framed within the World-Wide FINGERS network, aims to verify","rm omega 3 polyunsaturated fatty acid supplementation with or without multidomain intervention on cognitive function in elderly adults with memory complaints (MAPT): a randomised, placebo-controlled trial . Lancet Neurol. 16 , 377 – 389 . doi: 10.1016/S1474-4422(17)30040-6 , PMID: 28359749 Annaratone L. De Palma G. Bonizzi G. Sapino A. Botti G. Berrino E. . ( 2021",,,,
PMC12188645,40567995.0,10.3389/fpubh.2025.1498606,Effects of physical fitness using a Kinect system for pre-frail community-dwelling older adults.,2025.0,,https://europepmc.org/article/MED/40567995,expanded_accessible_search,multicomponent_exercise,Effects of physical fitness using a Kinect system for pre-frail community-dwelling older adults,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,frailty;grip_strength;falls;quality_of_life;adverse_events,"se using video in pre-frail community-dwelling older adults. Methods The study adopted an assessor-blinded experimental design. Sixty participants enrolled in the study. They were randomly assigned into an experimental group ( n = 30) and control group ( n = 30). The experimental group received aerobic dance exercise using Kinect system 30 mins/session, three sessions/week f",tribution or reproduction is permitted which does not comply with these terms. Purpose The study aimed to examine and compare the effects on physical fitness between aerobic dance exercise using Kinect system and aerobic dance exercise using video in pre-frail community-dwelling older adults. Methods The study adopted an assessor-blinded experimental design. Sixty p,". Methods The study adopted an assessor-blinded experimental design. Sixty participants enrolled in the study. They were randomly assigned into an experimental group ( n = 30) and control group ( n = 30). The experimental group received aerobic dance exercise using Kinect system 30 mins/session, three sessions/week for 8 weeks. The control group received aerobic dance ex","Results Both the experimental and control groups showed improvement in 30 Second Chair Stand Test (30CST) and 6-minute walk tests (6MWT) at 0–8 weeks and at 0–12 weeks. But the experimental group presented significantly more improvement than control group at 0–8 weeks in 30CST and at 0–12 weeks in 6MWT. The experimental group also exhibited significant improvement in Quality-of-Life Questionnaire by World Health Organization scores at 0–8 and 0–12 weeks. A significant difference in Behavior Regulation in Exercise Questionnaire-2 (BREQ-2) scores was also noted in the experimental group at 0–12 weeks ( p < 0.008).
3 Results 3.1 Participants' basic information Figure 1 showed the study flow. Initially 65 older adults participated in the study and randomly assigned to the experimental group or control group. But finally 60 participants finished the training session and all the measurements. Table 1 presents the basic characteristics of the participants. No significant differences of the basic characteristics or baseline measurements were observed between groups. The comparisons of the physical fitness outcome measures at weeks 0, 8, and 12 within groups and between groups were presented in Table 2 . Table 1 Descriptive characteristics of the pre-frail community-dwelling older adults. Kinect intervention group ( N = 30) Control group ( N = 30) p -Value Age (year) 69.10 ± 5.76 68.70 ± 4.31 0.762 Sex Female 25 (83.3%) 24 (80.0%) 0.111 Male 5 (16.7%) 6 (20.0%) Height (cm) 156.73 ± 7.15 157.80 ± 6.69 0.563 Weight (kg) 58.26 ± 9.25 60.27 ± 12.55 0.484 Number of falls (time/year) 0.37 ± 0.76 0.15 ± 0.40 0.176 BMI 23.78 ± 3.24 24.06 ± 4.60 0.789 Education level High school or above 19 (63.3%) 15 (50.0%) 0.297 Under junior high school 11 (36.7%) 15 (50.0%) Living status Live with fa",,,
PMC12275761,32259186.0,10.14283/jfa.2020.13,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study.",2020.0,The Journal of frailty & aging,https://pubmed.ncbi.nlm.nih.gov/32259186/,original_high_confidence,multicomponent_exercise,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study",include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;sppb;grip_strength;falls;quality_of_life;adherence;adverse_events,"ategy appears to be feasible and safe, and may also improve frailty status, functional task performance, and muscle strength. These results help calculate effect size for a future randomized controlled trial. Key words Older age resistance training muscle strength quality of life females pmc-status-qastatus 0 pmc-status-live yes pmc-status-embargo no pmc-status-releas","of Frailty & Aging 2260-1341 2273-4309 Elsevier PMC12275761 PMC12275761.1 12275761 12275761 32259186 10.14283/jfa.2020.13 S2260-1341(24)00272-X 1 Original Research Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study Bray N.W. 1 Jones G.J. 1 Rush K.L. 2 Jones C.A. 3 Jakobi J","lance and flexibility exercises. The crux of the program was balance and resistance exercises, the latter utilized high-intensity, free-weight, functional resistance training. The control group maintained their usual care. Measurements 1) Feasibility and safety (dropout, adherence, and adverse event) 2) Frailty (Frailty Phenotype, Clinical Frailty Scale, and gait speed)","Results No participants dropped out of the intervention or experienced an adverse event, and adherence averaged 88.3%. The exercise group became less frail, whereas the control group became more frail. There was a significant within-group improvement in exercise participants gait speed (p ≤ 0.01, +0.24 m/sec), grip strength (p ≤ 0.01, +3.9 kg), and sit-to-stand time (p ≤ 0.01, -5.0 sec). There was a significant within-group improvement in exercise participants knee extension isometric torque (p ≤ 0.05, +7.4 Nm) and isotonic velocity (p = ≤ 0.01, +37.5 °/sec). Elbow flexion isotonic velocity significantly declined within the control group (p ≤ 0.01, -20.2 °/sec) and demonstrated a significant between-group difference (p ≤ 0.05, 40.73 °/sec) post-intervention.
Results Characteristics: Participant characteristics were similar between groups (Table 1 ). Three CON participants were removed from the analysis because they were unable to complete the post-intervention assessment at the required date due to a fall-related injury unrelated to the study (n = 2) or illness (n = 1). No EX participants dropped out or experienced an adverse event during the intervention, and intervention adherence averaged 88.3%. One EX participant completed <65% of exercise sessions (seasonal flu) and was subsequently removed from the final analysis. A shoulder injury, unrelated to the exercise program, precluded one EX participant from completing the grip strength, STS, and EF measures at week 13. Table 1 Participant characteristics (mean ± SD) Characteristics CON EX n = 8 n = 8 Age (years) 72.4 ± 5.4 72.9 ± 4.8 Height (cm) 156.4 ± 7.7 162.5 ± 4.0 Weight (kg) 67.1 ± 11.0 75.8 ± 23.3 BMI (kg/m 2 ) 27.4 ± 4.0 28.6 ± 8.5 MoCA 25.6 ± 2.6 25.0 ± 3.0 Comorbidities per Participant 1.9 ± 1.5 2.1 ± 1.2 SD = ",,,
PMC12280510,31367733.0,10.1007/s12603-019-1216-8,"Positive Effects of ""Textured Lunches"" Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial.",2019.0,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/31367733/,original_high_confidence,nutrition_only,Positive Effects of “Textured Lunches” Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,frailty;gait_speed;grip_strength;falls;quality_of_life;adherence,192-2 1 Article Positive Effects of “Textured Lunches” Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial Kito N. 1 Matsuo Koichiro kmatsuo@fujita-hu.ac.jp 1 Ogawa K. 2 Izumi A. 2 Kishima M. 3 Itoda M. 4 Masuda Y. 5 1 Department of Dentistry and Oral-Maxillofacial Sur,"pmc J Nutr Health Aging J Nutr Health Aging 4760 jnha The Journal of Nutrition, Health & Aging 1279-7707 1760-4788 Elsevier PMC12280510 PMC12280510.1 12280510 12280510 31367733 10.1007/s12603-019-1216-8 S1279-7707(23)01192-2 1 Article Positive Effects of “Te","ng and Participants Eighty-six community-dwelling older adults in Daito city, Japan, were randomly assigned into control (n = 43) or intervention (n = 43) groups. Intervention The control group performed the physical exercise regimen only. The intervention group participated in a 12-week physical and oral exercise program and ate a so-called “munchy lunch” that introduce","Results A total of 113 older adults were recruited for this study and allocated into the intervention or control groups randomly according to community group (Figure 3 ). Five subjects in the control group and 12 in the intervention group withdrew from the study due to lack of interest or hospitalization. Ultimately, each 43 subjects in the control and intervention groups completed the final physical and oral assessments. Figure 3 Schematic flow diagram of participants in this randomized control trial The baseline measurements of the cohort are summarized in Table 1 . At the study onset, body fat percentage was significantly lower in the intervention group. No subject satisfied the criteria for sarcopenia. ( 25 ) As the measure for oral function, the number of teeth, occlusal force, and masticatory function were significantly higher in the intervention group at baseline. The attendance rate for the munchy lunch gatherings in the intervention group was 95.2%. The percentage of leftover lunch was 1.6 ± 4.9%. Table 1 Baseline characteristics of participants Characteristic Overall (n=86) Control (n=43) Intervention (n=43) P-value Mean SD Mean SD Mean SD Age (years) 75.6 (5.6) 76.7 (5.3) 74.4 (5.6) 0.06 Men : Women 6 : 80 2 : 41 4 : 39 Oral functions Number of teeth 18.7 (9.4) 15.3 (10.3) 22.0 (7.1) 0.001 Occlusal force (log [N]) 2.3 (0.4) 2.2 (0.4) 2.4 (0.4) 0.019 Tongue-lip motor function /pa/ (number/s) 6.1 (0.8) 6.1 (0.8) 6.2 (0.8) 0.89 /ta/ (number/s) 6.2 (0.7) 6.1 (0.7) 6.3 (0.7) 0.42 /ka/ (number/s) 5.8 (0.8) 5.7 (1.0) 5.8 (0.7) 0.69 Tongue pressure (kPa) 32.4 (8.0) 31.8 (8.6) 32.9 (7.4) 0.55 Masticatory function (mg/dL) 137.6 (48.7) 122.1 (50.6) 152.8 (42.0) 0.003 Physical properties and activities BMI (kg/m 2 ) 23.7 (3.6) 24.3 (4.1) 23.1 (3.0) 0.13 Body fat percenta",,,
PMC12285095,40696284.0,10.1186/s12877-025-06171-6,Application of the Fitness and Nutrition Program for Seniors (FANS) to improve Physical Activity and Kinanthropometric Measures among Community-Dwelling Older Adults living with Frailty: a Quasi-experimental Study.,2025.0,,https://europepmc.org/article/MED/40696284,expanded_accessible_search,nutrition_only,Application of the Fitness and Nutrition Program for Seniors (FANS) to improve Physical Activity and Kinanthropometric Measures among Community-Dwelling Older Adults living with Frailty: a Quasi-experimental Study,include_primary_accessible,Community/home/primary-care frailty RCT confirmed by mined full-text fields,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,frailty;gait_speed;sppb;grip_strength;quality_of_life;adherence;adverse_events,"nt differences. Simultaneously, it monitored in-person course attendance, home practice implementation rates, and adverse events. Methods Study design This research employed a non-randomized experimental control group design with pre-test and post-test assessments. The 6-month FANS intervention was implemented among community-dwelling older adults living with frailty,",BMC Geriatr 33 bmcgeri BMC Geriatrics 1471-2318 BMC PMC12285095 PMC12285095.1 12285095 12285095 40696284 10.1186/s12877-025-06171-6 6171 1 Research Application of the Fitness and Nutrition Program for Seniors (FANS) to improve Physical Activity and Kinanthropometric Measures among Community-Dwelling Older Adults living with Frailty: a Quasi-experimental Study http:/,"ometric measures. Methods This quasi-experimental research involved 81 older adults from community care centers, with 43 in the experimental group receiving the FANS and 38 in the control group continuing their usual health activities. Outcome measures, evaluated using intention-to-treat analysis, included physical activity (assessed with the Short Physical Performance B","Result The intervention group exhibited significant improvements in all physical activity measures ( p < 0.001) and mid-upper arm circumference ( p < 0.001) immediately and over time. The study identified significant differences between the two groups in physical activity on the Short Physical Performance Battery, which increased by 0.66 points ( p < 0.05), Five Times Sit to Stand test, which was 1.83 s faster ( p < 0.05), Timed Up and Go test, which was 2.63 s faster ( p < 0.001), and physical activity levels, which increased by 6.47 MET/hr ( p < 0.001). Additionally, kinanthropometric measurements, such as mid-upper arm circumference, which increased by 2.28 cm ( p < 0.001), and calf circumference, which increased by 1.34 cm ( p < 0.01), also showed significant differences. Significant interactions (group × time) were observed between the FTSST ( Wald χ 2 = 5.103, p < 0.05) and PA level ( Wald χ 2 = 4.080, p < 0.05) after three months. Additionally, significant interactions were found for the TUG ( Wald χ 2 = 6.856, p < 0.01), PA level ( Wald χ 2 = 34.888, p < 0.001), MUAC ( Wald χ 2 = 19.695, p < 0.001), and CC (Wald χ 2 = 10.181, p < 0.01) after six months.
Results Homogeneity test The homogeneity testing results showed no statistically significant differences between the two groups in demographic characteristics, including date of birth, biological sex, level of education, marital status, living situation, smoking history, alcohol consumption history, and perceived economic status ( p > 0.05). Additionally, the average numbers of chronic diseases were 0.93 in the experimental group and 0.97 in the control group. Regarding frailty status, 27.90% of the experimental group were in the frailty stage, while 72.10% were in the pre-frailty stage. In the control group, 18.",,,
