pmid,pmcid,title,fetch_status,local_path
41677077,PMC12895478,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC12895478.xml
42004413,PMC13091225,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,fetched,data\raw\pmc_fulltext\PMC13091225.xml
42066553,,"Effects of pickleball on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in older adults: A randomized controlled trial.",no_pmcid,
41658611,PMC12879047,"Feasibility and acceptability of a remotely delivered, home-based ""exercise snacking"" to improve physical function in community-dwelling older adults: a 28-day pilot study.",fetched,data\raw\pmc_fulltext\PMC12879047.xml
41805014,,Fermented Whey Protein Supplement Slows the Progression of Frailty and Sarcopenia Among Older Korean Adults: A Randomized Blinded Trial.,no_pmcid,
42131895,PMC13173293,Home-Based Intervention to Prevent Functional Decline in (Pre)frail Older Adults: The PromeTheus Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC13173293.xml
41190491,,Impacts of (Pre-)Social Frailty on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre-)Physically Frail Older Adults.,no_pmcid,
39731555,,Impacts of Depressive Symptoms on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre)frail Older Adults.,no_pmcid,
41397660,,Strength but not power training increases soluble alpha klotho levels in pre-frail older adults.,no_pmcid,
41796126,PMC13086931,The ActivLife exergame rehabilitation program improves functional abilities in pre-frail and frail older adults: a clinical trial.,fetched,data\raw\pmc_fulltext\PMC13086931.xml
41386386,,The effect of exercise and soy protein intake on physical frailty score improvement in community-dwelling elderly: a randomized controlled trial.,no_pmcid,
39652737,PMC11614458,A 24-Week Combined Resistance and Balance Training Program Improves Physical Function in Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC11614458.xml
40695991,PMC12284115,A randomized controlled trial of mobile intervention using health support bubbles to prevent social frailty.,fetched,data\raw\pmc_fulltext\PMC12284115.xml
39626407,,Acceptability and utility of a broad test battery to evaluate physical functioning and frailty in community-based settings for people experiencing homelessness and addiction-Findings from the LEAP trials.,no_pmcid,
40977239,,Effect of a combined exercise and nutrition program on sarcopenia in older adults: a randomised controlled trial in primary care.,no_pmcid,
39561465,,Effect of a home-based exercise program on subsequent falls among community-dwelling older adults with cognitive frailty: A sub-group analysis of a randomized controlled trial.,no_pmcid,
40969786,PMC12441017,Effect of a multicomponent intervention on institutionalization-free survival in older adults with sarcopenia: a,fetched,data\raw\pmc_fulltext\PMC12441017.xml
39580545,PMC11981931,Effect of individually tailored nutritional counseling on frailty status in older adults with protein-energy malnutrition or risk of it: an intervention study among home care clients.,fetched,data\raw\pmc_fulltext\PMC11981931.xml
39500251,,Effectiveness of a theory-underpinning exercise intervention among community-dwelling (pre)frail older adults: A stepped-wedge cluster-randomized trial.,no_pmcid,
39871464,PMC11786508,Effects of Remote Exercise on Physical Function in Pre-Frail Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC11786508.xml
39997521,PMC11855813,Effects of Twelve Weeks of Square Stepping Exercises on Physical and Cognitive Function and Plasma Content of SMP30: A Randomised Control Trial.,fetched,data\raw\pmc_fulltext\PMC11855813.xml
40616927,,Effects of a nurse-led health coaching program to prevent frailty in prefrail older women: A randomized controlled trial.,no_pmcid,
41035820,PMC12479488,Effects of exercise-cognitive dual-task training on cognitive frailty in older adults: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC12479488.xml
39798411,,Effects of interactive boxing-cycling on dual-task walking and prefrontal cortex activation in older adults with cognitive frailty: A randomized controlled trial.,no_pmcid,
39736420,,Effects of the Vivifrail-B multicomponent exercise program based on society ecosystems theory on physical function in community-dwelling frail older adults: A randomized controlled trial.,no_pmcid,
40024357,,"Examining the impact of 28-week multicomponent and strength exercises on brain health, salivary stress, and mental well-being in frail older women: A controlled trial analysis.",no_pmcid,
40367490,PMC12094531,"Frailty, Fitness, and Quality of Life Outcomes of a Healthy and Productive Aging Program (GrandMove) for Older Adults With Frailty or Prefrailty: Cluster Randomized Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC12094531.xml
41120990,PMC12538938,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,fetched,data\raw\pmc_fulltext\PMC12538938.xml
40121126,,"Improvements in Depressive Symptoms, Perceived Social Support, and Quality of Life Through an Educational Program in Community-Dwelling Older Adults With Frailty Phenotype: A Randomized Controlled Trial of the FRAGSALUD Project.",no_pmcid,
39954533,PMC12179999,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,fetched,data\raw\pmc_fulltext\PMC12179999.xml
40147475,,"Metformin and physical performance in older people with probable sarcopenia and physical prefrailty or frailty in England (MET-PREVENT): a double-blind, randomised, placebo-controlled trial.",no_pmcid,
40749218,PMC12316439,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC12316439.xml
41103092,,Nutritional Guidance Decreases the Prevalence of Frailty Among Older Caregivers.,no_pmcid,
40471669,PMC12179572,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",fetched,data\raw\pmc_fulltext\PMC12179572.xml
40005003,PMC11858716,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",fetched,data\raw\pmc_fulltext\PMC11858716.xml
40121486,PMC11929174,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC11929174.xml
