title,authors,year,journal,doi,pmid,source,is_preprint,study_design,species_model,sample_size,age_sex,disease_status,intervention_name,intervention_class,dose_intensity,duration,comparator,outcome_exact,ageing_domain_category,effect_direction,effect_size,uncertainty_measure,follow_up_time,mechanism,mechanism_directness,extraction_confidence,missingness_flag,ambiguity_notes,claim_score,claim_category
Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View,Konturek Peter C.; Hess Thomas; Dieterich Walburga; Zopf Yurdagül,2022.0,Principles in Microbiome Engineering,10.1002/9783527825462.ch8,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Parabiosis, Assembloids, Organoids (PAO).","Hong Y, Li L, Yan L, Bai L, Su J, Zhang X.",2026.0,Adv Sci (Weinh),10.1002/advs.202511671,41014607.0,europe_pmc,False,unclear_or_metadata_only,cellular,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,2.5,speculative_or_hype_heavy
"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes",Garbarino Valentina R; Tran Sydney; Glassman Jordan E; Kirkland James L; Musi Nicolas; Seshadri Sudha; Orr Miranda E,2020.0,Alzheimer's &amp; Dementia,10.1002/alz.047607,,crossref,False,unclear_or_metadata_only,unclear,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,"Yap KH, Chen C, Chong EJY, Kandiah N, Kivipelto M, Lai MKP, Maier AB, Matchar DB, Phua AKS, Teo CKL, Xu X, Zhou HJ, Chen CPL.",2026.0,Alzheimers Dement,10.1002/alz.71313,41943481.0,europe_pmc,False,RCT_or_clinical_trial,human,,,,lifestyle_bundle,lifestyle_bundle,,,,frailty,healthspan_functional_ageing,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,12.0,supported_for_healthspan_related_benefit
"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",Yang Xu; Lu Anni; Guan Xiao; Ying Tianlei; Pan Jingrong; Tan Mingqian; Lu Jun,2025.0,Food Frontiers,10.1002/fft2.511,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,"Muñoz-Pardeza J, López-Gil JF, Hormazábal-Aguayo I, Izquierdo M, Agostinis-Sobrinho C, Ezzatvar Y, García-Hermoso A.",2026.0,J Cachexia Sarcopenia Muscle,10.1002/jcsm.70257,41854192.0,europe_pmc,False,RCT_or_clinical_trial,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,2025.0,,10.1002/vms3.70854/v1/decision1,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",Agnieszka Zak-Bochenek,2025.0,,10.1002/vms3.70854/v1/review1,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,2025.0,,10.1002/vms3.70854/v1/review2,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,2026.0,,10.1002/vms3.70854/v2/decision1,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
