dedup_key,n_records,title,doi,pmid
doi:10.1002/1873-3468.70215,2,Hematopoietic (stem) cells-The elixir of life?,10.1002/1873-3468.70215,41343291.0
doi:10.1002/advs.202519392,2,Integrative Approaches to Treating Cellular Senescence in Kidney Disease.,10.1002/advs.202519392,41831318.0
doi:10.1007/978-3-030-24958-8_14,2,Early-Life Adjustment of Epigenetic Aging Clock,10.1007/978-3-030-24958-8_14,
doi:10.1007/978-3-030-83017-5_24,2,Fasting and Caloric Restriction for Healthy Aging and Longevity,10.1007/978-3-030-83017-5_24,
doi:10.1007/s10522-025-10371-3,2,From sick care to healthspan: educating the longevity physician for health maintenance and health promotion.,10.1007/s10522-025-10371-3,41391057.0
doi:10.1007/s10522-026-10402-7,3,Neuroendocrine-associated epigenetic factors in cellular senescence: mechanisms and therapeutic implications.,10.1007/s10522-026-10402-7,41746442.0
doi:10.1007/s12017-026-08923-y,3,SIRT1 Activators as Geroprotective Agents in Brain Aging: Mechanisms and Therapeutic Potential.,10.1007/s12017-026-08923-y,41934491.0
doi:10.1016/j.arr.2017.05.006,2,Vascular aging: Molecular mechanisms and potential treatments for vascular rejuvenation,10.1016/j.arr.2017.05.006,
doi:10.1016/j.arr.2025.102878,2,Nucleoside reverse transcriptase inhibitors as a therapeutic opportunity to counteract inflammaging and age-related diseases: New evidence from epidemiological data.,10.1016/j.arr.2025.102878,40854393.0
doi:10.1016/j.arr.2025.102946,3,"Utilizing accelerated and delayed murine models of aging to address the ""healthspan issue"" - A review of skeletal muscle health.",10.1016/j.arr.2025.102946,41260524.0
doi:10.1016/j.arr.2026.103009,4,The epigenetic rejuvenation promise: Partial reprogramming as a therapeutic strategy for aging and disease.,10.1016/j.arr.2026.103009,41490578.0
doi:10.1016/j.arr.2026.103123,3,Sex differences in response to longevity interventions.,10.1016/j.arr.2026.103123,41935583.0
doi:10.1016/j.arr.2026.103144,2,Gene therapy for aging: Current evidence and future directions.,10.1016/j.arr.2026.103144,41997501.0
doi:10.1016/j.jmb.2026.169656,5,Links Between Autophagy and Healthy Aging.,10.1016/j.jmb.2026.169656,41577121.0
doi:10.1016/j.tjfa.2026.100147,3,"Insights on geroscience pre-clinical and clinical trials to promote healthy aging from the Intrinsic Capacity, Frailty and Sarcopenia Research Task Force 2025.",10.1016/j.tjfa.2026.100147,41863810.0
doi:10.1021/acsptsci.6c00026,6,Translational Geroscience Strategies for Delaying Multimorbidity.,10.1021/acsptsci.6c00026,41988378.0
doi:10.1038/s41422-025-01138-z,2,Escaping ageing through Cell Annealing-a phenomenological model.,10.1038/s41422-025-01138-z,40628948.0
doi:10.1038/s41514-025-00279-0,2,"Towards global healthy longevity: report from the 1st World Longevity Summit in Kyotango, Japan.",10.1038/s41514-025-00279-0,41253835.0
doi:10.1038/s41514-026-00339-z,3,The pursuit of understanding human longevity.,10.1038/s41514-026-00339-z,41644533.0
doi:10.1038/s43587-023-00547-2,2,Isoleucine dietary restriction boosts healthspan and longevity in mice,10.1038/s43587-023-00547-2,
doi:10.1080/07853890.2026.2624183,2,"Testicular ageing as a central hallmark of male senescence: characteristics, molecular mechanisms and emerging therapeutic strategies.",10.1080/07853890.2026.2624183,41635976.0
doi:10.1111/acel.70371,2,Lifespan-Extending Endogenous Metabolites.,10.1111/acel.70371,41527327.0
doi:10.1111/acel.70385,2,"Aging of the Hematopoietic System: Mechanisms, Consequences, and Systemic Interactions.",10.1111/acel.70385,41540894.0
