intervention,mechanism,directness,species_model,title
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal Microbiota Transplantation for Microbiome Modulation: A Clinical View
controversial,unclear,inferred_from_title_abstract,cellular,"Parabiosis, Assembloids, Organoids (PAO)."
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,"A head‐to‐head comparison between senolytic therapies, dasatinib plus quercetin and fisetin, indicates sex‐ and genotype‐specific differences in translationally relevant outcomes"
lifestyle_bundle,unclear,inferred_from_title_abstract,human,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)"
exercise,unclear,inferred_from_title_abstract,human,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium"""
sleep_circadian,unclear,inferred_from_title_abstract,unclear,Diet and Circadian Rhythms: Implications for Aging and Longevity
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Fasting and Caloric Restriction for Healthy Aging and Longevity
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Microbiome and Probiotics for Ischemic Stroke
microbiome,microbiome_host,inferred_from_title_abstract,human,Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome
microbiome,cellular_senescence,inferred_from_title_abstract,unclear,Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging
microbiome,inflammaging,inferred_from_title_abstract,unclear,Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Gut Microbiome and Virome: Anti-Aging Interventions
sleep_circadian,unclear,inferred_from_title_abstract,unclear,Sleep and Clocks in Aging and Longevity
sleep_circadian,unclear,inferred_from_title_abstract,unclear,Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity
sleep_circadian,unclear,inferred_from_title_abstract,unclear,Optimum Sleep for Healthy Ageing
sleep_circadian,unclear,inferred_from_title_abstract,unclear,"Sleep, Ageing, and Cognitive Decline"
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric Restriction and Biomarkers of Aging
sleep_circadian,nutrient_sensing,inferred_from_title_abstract,unclear,Circadian Clocks and mTOR Signaling
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Stem Cell Aging: An Overview
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Aging of Muscle Stem Cells
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Aging of Human Mesenchymal Stem Cells
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Aging of the Hematopoietic Stem Cell Niches
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Hematopoietic Stem Cell Aging and Leukemogenesis
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Closing the Circle: Stem Cell Rejuvenation and Longevity
stem_cell,stem_cell_effects,inferred_from_title_abstract,animal,Aging of Intestinal Stem Cells in Drosophila Melanogaster
stem_cell,stem_cell_effects,inferred_from_title_abstract,animal,Aging of Murine Hematopoietic Stem Cells
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Aging of Human Haematopoietic Stem Cells
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Aging of Mammalian Intestinal Stem Cells
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"History of Caloric Restriction, Aging and Longevity"
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging"
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics
exercise,unclear,inferred_from_title_abstract,unclear,Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Gut Microbiome and Brain Ageing
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Gut Microbiome and Brain Aging
exercise,unclear,inferred_from_title_abstract,unclear,What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.
controversial,unclear,inferred_from_title_abstract,animal,Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.
controversial,unclear,inferred_from_title_abstract,animal,Young blood-mediated cerebromicrovascular rejuvenation through heterochronic parabiosis: enhancing blood-brain barrier integrity and capillarization in the aged mouse brain.
controversial,unclear,inferred_from_title_abstract,human,"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments."
caloric_restriction,unclear,inferred_from_title_abstract,animal,Glucagon receptor signaling is indispensable for the healthspan effects of caloric restriction in aging male mice.
exercise,unclear,inferred_from_title_abstract,unclear,Safety of resistance training in the elderly
