source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),2303bd30ae1ce10c141460e1cd469f4c,Molecular mechanisms of aging and anti-aging strategies.,,Li Y; Tian X; Luo J; Bao T; Wang S; Wu X,2024,Cell communication and signaling : CCS,,38790068,,https://pubmed.ncbi.nlm.nih.gov/38790068/,"Journal Article; Review; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),348a9452e681197a41a967cf1ba5020e,From discoveries in ageing research to therapeutics for healthy ageing.,,Campisi J; Kapahi P; Lithgow GJ; Melov S; Newman JC; Verdin E,2019,Nature,,31292558,,https://pubmed.ncbi.nlm.nih.gov/31292558/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),6e1cd3c6f792f9dc8eef7f19502a5f40,"Nutrition, longevity and disease: From molecular mechanisms to interventions.",,Longo VD; Anderson RM,2022,Cell,,35487190,,https://pubmed.ncbi.nlm.nih.gov/35487190/,"Journal Article; Review; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),28ec4cf2b71fa770691f35b4029fef00,Validation of biomarkers of aging.,,Moqri M; Herzog C; Poganik JR; Ying K; Justice JN; Belsky DW; Higgins-Chen AT; Chen BH,2024,Nature medicine,,38355974,,https://pubmed.ncbi.nlm.nih.gov/38355974/,"Journal Article; Review; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),30f9417615aaedeb7f8e6f8c8a4e944d,Inhibition of IL-11 signalling extends mammalian healthspan and lifespan.,,Widjaja AA; Lim WW; Viswanathan S; Chothani S; Corden B; Dasan CM; Goh JWT; Lim R,2024,Nature,,39020175,,https://pubmed.ncbi.nlm.nih.gov/39020175/,"Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),843f07651fa6ad2813e7d22372f3cb62,Molecular mechanisms of dietary restriction promoting health and longevity.,,Green CL; Lamming DW; Fontana L,2022,Nature reviews. Molecular cell biology,,34518687,,https://pubmed.ncbi.nlm.nih.gov/34518687/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),13d78aafe49fc5edc76b2cc24e15c06d,The ageing epigenome and its rejuvenation.,,Zhang W; Qu J; Liu GH; Belmonte JCI,2020,Nature reviews. Molecular cell biology,,32020082,,https://pubmed.ncbi.nlm.nih.gov/32020082/,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),0fe1f0f606b9dc30b9ee1fd9dd6a5274,Aging and age-related diseases: from mechanisms to therapeutic strategies.,,Li Z; Zhang Z; Ren Y; Wang Y; Fang J; Yue H; Ma S; Guan F,2021,Biogerontology,,33502634,,https://pubmed.ncbi.nlm.nih.gov/33502634/,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),e29d8798337a71b5aaf3ce53140a3738,Spermidine is essential for fasting-mediated autophagy and longevity.,,Hofer SJ; Daskalaki I; Bergmann M; Friščić J; Zimmermann A; Mueller MI; Abdellatif M; Nicastro R,2024,Nature cell biology,,39117797,,https://pubmed.ncbi.nlm.nih.gov/39117797/,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),4308269ea078fe56752d4cbc3a4aaf6e,Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,,Bárcena C; Valdés-Mas R; Mayoral P; Garabaya C; Durand S; Rodríguez F; Fernández-García MT; Salazar N,2019,Nature medicine,,31332389,,https://pubmed.ncbi.nlm.nih.gov/31332389/,"Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),d34434e61713b8042aa86fe9b1dd11e1,Increased hyaluronan by naked mole-rat Has2 improves healthspan in mice.,,Zhang Z; Tian X; Lu JY; Boit K; Ablaeva J; Zakusilo FT; Emmrich S; Firsanov D,2023,Nature,,37612507,,https://pubmed.ncbi.nlm.nih.gov/37612507/,"Journal Article; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),fd60209505c7820ce61e1ecf841da817,Metformin as a Tool to Target Aging.,,Barzilai N; Crandall JP; Kritchevsky SB; Espeland MA,2016,Cell metabolism,,27304507,,https://pubmed.ncbi.nlm.nih.gov/27304507/,"Journal Article; Review; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),27cc4334d552181fc0ec29ba1ee77c1a,Geroscience: A Translational Review.,,Kritchevsky SB; Cummings SR,2025,JAMA,,40773213,,https://pubmed.ncbi.nlm.nih.gov/40773213/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),9557c7da81011ed4b46d292c6fc10342,Aging Research Using Mouse Models.,,Ackert-Bicknell CL; Anderson LC; Sheehan S; Hill WG; Chang B; Churchill GA; Chesler EJ; Korstanje R,2015,Current protocols in mouse biology,,26069080,,https://pubmed.ncbi.nlm.nih.gov/26069080/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),086b4ac92d4481cafab2d677ace23546,Rapamycin fed late in life extends lifespan in genetically heterogeneous mice.,,Harrison DE; Strong R; Sharp ZD; Nelson JF; Astle CM; Flurkey K; Nadon NL; Wilkinson JE,2009,Nature,,19587680,,https://pubmed.ncbi.nlm.nih.gov/19587680/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),ffd0a2c726a684442ef43c909c0de63c,Metformin improves healthspan and lifespan in mice.,,Martin-Montalvo A; Mercken EM; Mitchell SJ; Palacios HH; Mote PL; Scheibye-Knudsen M; Gomes AP; Ward TM,2013,Nature communications,,23900241,,https://pubmed.ncbi.nlm.nih.gov/23900241/,"Journal Article; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),5517056f64ce2ea3e2a6cdedae5dd91b,Gene Therapy-Mediated Partial Reprogramming Extends Lifespan and Reverses Age-Related Changes in Aged Mice.,,Macip CC; Hasan R; Hoznek V; Kim J; Lu YR; Metzger LE 4th; Sethna S; Davidsohn N,2024,Cellular reprogramming,,38381405,,https://pubmed.ncbi.nlm.nih.gov/38381405/,Journal Article,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),c89c59c5b26270976e80613819ac0b50,Ageing-associated changes in transcriptional elongation influence longevity.,,Debès C; Papadakis A; Grönke S; Karalay Ö; Tain LS; Mizi A; Nakamura S; Hahn O,2023,Nature,,37046086,,https://pubmed.ncbi.nlm.nih.gov/37046086/,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),ac451029aac3abd9829d54357dca8582,A Senescence-Centric View of Aging: Implications for Longevity and Disease.,,Borghesan M; Hoogaars WMH; Varela-Eirin M; Talma N; Demaria M,2020,Trends in cell biology,,32800659,,https://pubmed.ncbi.nlm.nih.gov/32800659/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),95723b1dff05bd34039674c66c188ee3,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,Qu Q; Chen Y; Wang Y; Wang W; Long S; Yang HY; Wu J; Li M,2025,Nature,,39695235,,https://pubmed.ncbi.nlm.nih.gov/39695235/,"Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),a8e1b73009040a49f2d69500183d18d8,Nutrition and longevity - From mechanisms to uncertainties.,,Ekmekcioglu C,2020,Critical reviews in food science and nutrition,,31631676,,https://pubmed.ncbi.nlm.nih.gov/31631676/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),2ae63dce85ca2255c101d067d649c5db,Dietary restriction impacts health and lifespan of genetically diverse mice.,,Di Francesco A; Deighan AG; Litichevskiy L; Chen Z; Luciano A; Robinson L; Garland G; Donato H,2024,Nature,,39385029,,https://pubmed.ncbi.nlm.nih.gov/39385029/,"Journal Article; Research Support, N.I.H., Extramural",False,2026-04-23T01:40:41
