study_id,first_author,year,journal,doi,pmid,design,n_int,n_ctrl,age_mean,age_sd,sex_female_pct,health_status,intervention_class,intervention_detail,dose,duration_weeks,comparator,clock,baseline_int_mean,baseline_int_sd,post_int_mean,post_int_sd,baseline_ctrl_mean,baseline_ctrl_sd,post_ctrl_mean,post_ctrl_sd,change_int_mean,change_int_sd,change_ctrl_mean,change_ctrl_sd,array_platform,follow_up_weeks,funding_source,coi_disclosure,extraction_status,notes
OlasoGonzalezG_2026_88c470,Olaso-Gonzalez G,2026,,10.1111/acel.70376,41677077.0,RCT,,,,,,,exercise,,,,RCT_comparator_unspecified,PhenoAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
LinS_2025_c63679,Lin S,2025,,10.1080/07853890.2025.2496409,40297922.0,RCT,,,,,,,exercise,,,,RCT_comparator_unspecified,UNSPECIFIED_EPIGENETIC_AGE,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
ChapnickM_2025_d1605d,Chapnick M,2025,,10.1101/2025.09.25.678652,,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,DunedinPACE,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
ChapnickM_2025_d1605d,Chapnick M,2025,,10.1101/2025.09.25.678652,,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
ChapnickM_2025_d1605d,Chapnick M,2025,,10.1101/2025.09.25.678652,,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,PhenoAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
StanfieldB_2026_967335,Stanfield B,2026,,10.1002/jcsm.70274,41985884.0,RCT,,,,,,,exercise,,,,placebo,UNSPECIFIED_EPIGENETIC_AGE,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
BozackAK_2025_7aa71b,Bozack AK,2025,,10.1038/s41514-025-00298-x,41354984.0,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
BozackAK_2025_7aa71b,Bozack AK,2025,,10.1038/s41514-025-00298-x,41354984.0,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,GrimAge2,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
BozackAK_2025_7aa71b,Bozack AK,2025,,10.1038/s41514-025-00298-x,41354984.0,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,PhenoAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
BozackAK_2025_7aa71b,Bozack AK,2025,,10.1038/s41514-025-00298-x,41354984.0,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,Horvath,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
BozackAK_2025_7aa71b,Bozack AK,2025,,10.1038/s41514-025-00298-x,41354984.0,RCT,,,,,,,supplement,,,,RCT_comparator_unspecified,Hannum,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
RobinsonLA_2026_d1a7b4,Robinson LA,2026,,10.3389/fnut.2026.1750030,41717034.0,crossover,,,,,,,caloric_restriction,,,,RCT_comparator_unspecified,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
RobinsonLA_2026_d1a7b4,Robinson LA,2026,,10.3389/fnut.2026.1750030,41717034.0,crossover,,,,,,,caloric_restriction,,,,RCT_comparator_unspecified,Horvath,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,,10.1093/eep/dvae017,39416749.0,crossover,,,,,,,other,,,,RCT_comparator_unspecified,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,,10.1093/eep/dvae017,39416749.0,crossover,,,,,,,other,,,,RCT_comparator_unspecified,Horvath,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
NwanajiEnweremJC_2024_cd243f,Nwanaji-Enwerem JC,2024,,10.1093/eep/dvae017,39416749.0,crossover,,,,,,,other,,,,RCT_comparator_unspecified,DNAmTL,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
CorleyMJ_2025_ad19fa,Corley MJ,2025,,10.1101/2025.07.09.25331038,,RCT,,,,,,,pharmacological,,,,placebo,DunedinPACE,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
CorleyMJ_2025_ad19fa,Corley MJ,2025,,10.1101/2025.07.09.25331038,,RCT,,,,,,,pharmacological,,,,placebo,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
CorleyMJ_2025_ad19fa,Corley MJ,2025,,10.1101/2025.07.09.25331038,,RCT,,,,,,,pharmacological,,,,placebo,PhenoAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
RslerW_2026_9ed59d,Rösler W,2026,,10.1038/s41514-026-00360-2,41872206.0,RCT,,,,,,,other,,,,RCT_comparator_unspecified,DunedinPACE,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
RslerW_2026_9ed59d,Rösler W,2026,,10.1038/s41514-026-00360-2,41872206.0,RCT,,,,,,,other,,,,RCT_comparator_unspecified,GrimAge,,,,,,,,,,,,,,,,,not_reported,Auto-seeded from abstract; numeric outcomes pending manual extraction from full text.
