pmid,pmcid,doi,title,authors,year,journal,abstract,source,url,dedupe_key,screen_decision,reason,fulltext_priority,priority_reason
39024000,PMC11294767,10.2196/59468,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,Tuan SH; Chang LH; Sun SF; Li CH; Chen GB; Tsai YJ,2024,Journal of medical Internet research,"Frailty and sarcopenia are geriatric syndromes of increasing concern and are associated with adverse health outcomes. They are more prevalent among long-term care facility (LTCF) users than among community dwellers. Exercise, especially multicomponent and progressive resistance training, is essential for managing these conditions. However, LTCFs, particularly in rural areas, face challenges in implementing structured exercise programs due to health care professional shortages. Moreover, older adults often become bored with repetitive exercise training and may lose interest over time. The Nintendo Switch Ring Fit Adventure (RFA) exergame is a novel exergame that combines resistance, aerobic, and balance exercises and offers a potential solution by boosting motivation in an immersive manner and reducing staff intervention needs. We aimed to evaluate the clinical effectiveness of an exergame-based exercise training program delivered via RFA (exergame-RFA) in improving muscle mass and functional performance among older adult LTCF users. This was a randomized controlled trial conducted from August 2022 to September 2023 and involved older adult LTCF users (aged ≥60 y) in rural southern Taiwan. Participants were randomized into an intervention group (exergame-RFA plus standard care) or a control group (standard care alone). The intervention, conducted seated with arm fit skills and trunk control exercises using the RFA, lasted 30 minutes twice weekly over 12 weeks. The primary outcomes measured were the Study of Osteoporotic Fractures index (serving as an indicator of frailty status) and the diagnostic criteria for sarcopenia (appendicular skeletal muscle mass index, handgrip strength, and gait speed). The secondary outcomes included functional performance (box and block test as well as maximum voluntary isometric contraction of the dominant upper extremity), muscle condition (muscle thickness measured using ultrasonography), activities of daily living (Kihon checklist), health-related quality of life (Short Form Health Survey-36), and cognitive function (brain health test). We used an intention-to-treat analysis, incorporating a simple imputation technique in statistical analysis. A mixed ANOVA, with time as a within-participant factor and intervention as a between-participant factor, was used to compare the training effects on outcomes. We recruited 96 individuals, of whom 60 (62%) underwent randomization. Of these 60 participants, 55 (92%) completed the study. Significant group×time interactions were observed in the intervention group in all primary outcomes (all P<.001, except P=.01 for handgrip strength) and most secondary outcomes, including maximum voluntary isometric contraction of the biceps (P=.004) and triceps brachii (P<.001) muscles, biceps muscle thickness measured using ultrasonography (P<.001), box and block test (P<.001), Kihon checklist (physical function: P=.01, mood status: P=.003, and total: P=.003), and brain health test (P<.001). The exergame-RFA intervention significantly improved muscle mass, strength, and functional performance among older adult users of rural LTCFs, offering a novel approach to addressing frailty and sarcopenia. ClinicalTrials.gov NCT05360667; https://clinicaltrials.gov/study/NCT05360667. RR2-10.3389/fmed.2022.1071409.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39024000/,doi:10.2196/59468,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
34197791,,10.1016/j.jamda.2021.05.037,Impact of Tailored Multicomponent Exercise for Preventing Weakness and Falls on Nursing Home Residents' Functional Capacity.,Courel-Ibáñez J; Buendía-Romero Á; Pallarés JG; García-Conesa S; Martínez-Cava A; Izquierdo M,2022,Journal of the American Medical Directors Association,"We aimed to determine whether the benefits of long (24 weeks) and short (4 weeks) training programs persisted after short (6 weeks) and long (14 weeks) periods of inactivity in older adult nursing home residents with sarcopenia. Multicenter randomized trial. The Vivifrail tailored, multicomponent exercise program (http://vivifrail.com) was conducted to individually prescribe exercise for frail older adults, depending on their functional capacity. The training included 4 levels combining strength and power, balance, flexibility, and cardiovascular endurance exercises. Twenty-four institutionalized older adults (87.1 ± 7.1 years, 58.3% women) diagnosed with sarcopenia were allocated into 2 groups: the Long Training-Short Detraining (LT-SD) group completed 24 weeks of supervised Vivifrail training followed by 6 weeks of detraining; the Short Training-Long Detraining (ST-LD) group completed 4 weeks of training and 14 weeks of detraining. Changes in functional capacity and strength were evaluated at baseline, and after short and long training and detraining periods. Benefits after short and long exercise interventions persisted when compared with baseline. Vivifrail training was highly effective in the short term (4 weeks) in increasing functional and strength performance (effect size = 0.32-1.44, P < .044) with the exception of handgrip strength. Continued training during 24 weeks produced 10% to 20% additional improvements (P < .036). Frailty status was reversed in 36% of participants, with 59% achieving high self-autonomy. Detraining resulted in a 10% to 25% loss of strength and functional capacity even after 24 weeks of training (effects size = 0.24-0.92, P < .039). Intermittent strategies such as 4 weeks of supervised exercise 3 times yearly with no more than 14 weeks of inactivity between exercise periods appears as an efficient solution to the global challenge of maintaining functional capacity and can even reverse frailty in vulnerable institutionalized older adults.",PubMed,https://pubmed.ncbi.nlm.nih.gov/34197791/,doi:10.1016/j.jamda.2021.05.037,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
40036319,PMC11878527,10.1093/ageing/afaf041,Impact of frailty status on the effect of a multidomain lifestyle intervention on cognition.,Pöyhönen J; Lehtisalo J; Roitto HM; Levälahti E; Strandberg T; Kivipelto M; Kulmala J; Antikainen R; Soininen H; Tuomilehto J,2025,Age and ageing,"Frailty often precedes and co-occurs with dementia. A multidomain lifestyle intervention has shown favourable effects on cognition. We aimed to investigate if frailty status modifies this intervention effect. The Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability (FINGER) recruited 1259 participants aged 60-77 years who were at risk of dementia. They were randomised to receive a multidomain intervention (diet, exercise, cognitive training and vascular risk monitoring) or regular health advice for two years. The outcome was a change in cognition (neuropsychological test battery composite score). Frailty and prefrailty were defined according to the Fried phenotype. Mixed models were used to investigate if frailty status at baseline modified the intervention effect on cognition. Frailty status (prefrail/frail n = 520, robust n = 625) at baseline did not modify the effect of intervention on global cognition during the 2-year follow-up (P-value for frailty × intervention × time interaction > .05). Concerning cognitive subdomains, similar results were found. Among prefrail/frail persons, within-group analyses suggested a beneficial intervention effect on executive function and processing speed and also on global cognition when frail participants (n = 15) were excluded from the analyses. Being prefrail/frail was related to less improvement in global cognition, memory and executive function domains compared with being robust when intervention was not taken into consideration. A multidomain intervention is likely to be beneficial to cognition regardless of frailty status. Prefrail participants seemed particularly responsive to preventive intervention. Thus, an optimal time for a multidomain lifestyle intervention may be at the prefrailty stage.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40036319/,doi:10.1093/ageing/afaf041,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
40613666,PMC12231580,10.1093/ageing/afaf184,The effect of qigong on frailty in older cancer survivors: a randomised controlled trial.,Cheung DST; Chan WL; Chau PH; Soong IS; Yeung WF; Lee SF; Siu PM; Woo J; Yu DSF; Lin CC,2025,Age and ageing,"Frailty predicts increased cancer recurrence and mortality among older cancer survivors. Qigong has been shown to improve physical and mental well-being, as well as inflammation, which are closely linked with frailty in the cancer population. This study aims to evaluate the effect of qigong on frailty among older cancer survivors. An assessor-blind multi-centre randomised controlled trial. Post-treatment cancer survivors aged 65+ screened as pre-frail or frail based on the Fried frailty phenotype were recruited and randomised to an intervention (16-week qigong Baduanjin) or an active control group (16-week light flexibility exercise). The primary outcome was the reversal of frailty status. The secondary outcomes included physical frailty severity, multidimensional frailty severity, physical performance, psychological well-being and quality of life. Analysis was based on the intention-to-treat principle. Two hundred twenty-six older cancer survivors were randomised, 113 to the qigong group and 113 to the light flexibility exercise group. At 16 weeks, the difference in the rates of frailty reversal in the qigong group (28.7%) and the light flexibility exercise group (22.5%) was insignificant (adjusted odds ratio = 1.39, 95% CI, 0.65 to 2.95). While both groups had significant improvement in physical frailty severity, physical performance, psychological well-being and quality of life, only the qigong group had significant improvement in multidimensional frailty severity. The group × time interaction was not significant. Qigong was not superior to an active control in its effect on improving frailty in older cancer survivors. Researchers should include routine care as control and examine the underlying mechanisms driving the change in frailty.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40613666/,doi:10.1093/ageing/afaf184,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
39742890,PMC11703011,10.1080/07853890.2024.2446699,Effects of multidomain lifestyle intervention on frailty among older men and women - a secondary analysis of a randomized clinical trial.,Saarela L; Lehtisalo J; Ngandu T; Kyrönlahti S; Havulinna S; Strandberg T; Levälahti E; Antikainen R; Soininen H; Tuomilehto J,2025,Annals of medicine,"Frailty is a common geriatric syndrome associated with poor clinical outcomes. Effectiveness of lifestyle intervention programmes among frail older people has been examined earlier, but effects of interventions on prevention of frailty have been rarely studied. The aim of this study was to investigate to what extent the multidomain lifestyle intervention in the Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability (FINGER) affected changes in frailty status among older men and women at risk of cognitive disorders. The 2-year multidomain lifestyle intervention trial including simultaneous nutritional counseling, physical exercise, cognitive training and social activity, and management of metabolic and vascular risk factors, was conducted among 1259 older people (mean age 68.9 years). A modified Fried's frailty phenotype (weight loss, exhaustion, weakness, slowness, and low physical activity) was used to assess frailty at baseline and after the 2-year intervention. Participants with one or more components of the frailty phenotype were classified as pre-frail or frail. A multinomial regression model was applied to investigate efficacy of the intervention on frailty. We observed a favorable trend in reversing frailty among older men with the intervention. Pre-frail or frail men in the intervention group had higher probability of being non-frail after the intervention (44%) than pre-frail or frail men in the control group (30%) (p = 0.040). Among men, the intervention was especially beneficial in terms of increasing physical activity. Among women, multidomain lifestyle intervention did not affect the frailty status. Modifying lifestyle-related factors may have potential to reverse first signs of frailty among older men. However, the intervention lasted only two years, therefore, research with longer follow-up is needed to see possible long-term effects of lifestyle management on the development of frailty.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39742890/,doi:10.1080/07853890.2024.2446699,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
40393201,,10.1016/j.archger.2025.105892,Rationale and study design of multicomponent exercise intervention for frail older patients with acutely decompensated heart failure: Pilot of the randomized controlled trial J REHAB-HF trial.,Kono Y; Hamazaki N; Katano S; Yamamoto S; Ishihara K; Iwatsu K; Okamura M; Ogawa M; Kasai KI; Takeuchi M,2025,Archives of gerontology and geriatrics,"In Japan, a growing number of older adults with heart failure (HF) are experiencing physical frailty. Healthcare providers recommend multicomponent exercise program for frail patients; however, their effectiveness in older Japanese adults with HF, who differ physiologically from their Western counterparts, remains unclear. In this study, we will compare the feasibility and efficacy of a multicomponent exercise program with those of conventional exercise therapy as pilot study of the randomized controlled trial, Japanese REHAB-HF (J REHAB-HF) trial. In this multicenter study, frail older adults hospitalized with worsening HF will be randomly assigned to participate in a program of either multicomponent or conventional exercise therapy. We developed a multicomponent exercise program to target characteristics of physical frailty: poor gait performance, balance ability, muscle strength, and exercise tolerance. The primary outcome is the total score on the Short Physical Performance Battery; additional outcome measures include feasibility and safety of the programs. The pilot study of the J REHAB-HF trial is an evaluation of whether a multicomponent exercise program enhances physical function more effectively than does conventional exercise therapy in frail older adults with HF. The findings will guide the design of the main J REHAB-HF trial and improve care for these individuals.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40393201/,doi:10.1016/j.archger.2025.105892,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
41246478,PMC12619544,10.2147/CIA.S552924,Effects of Multicomponent Otago Exercise Program with Added Resistance Training on Sarcopenia in Pre-Frailty Older Adults in Nursing Homes: A Randomized Controlled Trial.,Pan N; Chen Y; Wang Z; Liu C; Tong J; He Y; Ossowski ZM,2025,Clinical interventions in aging,"The Otago Exercise Program (OEP) is suitable for frail older adults but has limited effect on sarcopenia. Resistance training (RT) is commonly used for sarcopenia. This study evaluated the effects of 12 weeks of OEP combined with RT on body composition, physical function, quality of life, and frailty in older adults with pre-sarcopenia in nursing homes. Sixty-one pre-frail elderly (aged 65-89 years) with sarcopenia were randomly divided into experimental group (EG) and control group (CG). EG received OEP+RT training three times a week for 12 weeks, and CG maintained daily activities. The InBody 770 was used to assess body composition, Jamar Plus was used to measure grip strength, and international standard scales were used to assess physical function, quality of life and frailty. Compared to the CG, the EG showed significant improvements in Skeletal Muscle Index (SMI: 5.79 vs 5.43, p=0.037), Skeletal Muscle Mass (21.8 vs 19.5, p=0.017), hand grip strength (19.31 vs 16.92, p=0.029), gait speed (0.9 vs 0.81, p<0.001), and the Five-Times-Sit-to-Stand Test (13 vs 14.35, p<0.001). Within the EG, both SMI and hand grip strength increased significantly compared to baseline levels (p<0.001), whereas in the CG, they decreased significantly (p<0.05). There was no significant improvement in frailty status observed in either group. OEP combined with RT can improve the sarcopenia-related parameters of the elderly in nursing homes. Short-term unreversed frailty may be related to insufficient intervention intensity or single dimension. Improved muscle and physical function may contribute to future improvements in quality of life and frailty.",PubMed,https://pubmed.ncbi.nlm.nih.gov/41246478/,doi:10.2147/cia.s552924,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
37997729,PMC12877264,10.1007/s12603-023-2031-9,Effect of Multicomponent Intervention on Functional Decline in Chinese Older Adults: A Multicenter Randomized Clinical Trial.,Chen B; Li M; Zhao H; Liao R; Lu J; Tu J; Zou Y; Teng X; Huang Y; Liu J,2023,"The journal of nutrition, health & aging","To confirm whether multicomponent exercise following vivifrail recommendations was an effective method for improving physical ability, cognitive function, gait, balance, and muscle strength in Chinese older adults. This was a multicenter and randomized clinical trial conducted in Jiangsu, China, from April 2021 to April 2022. Intervention lasted for 12 weeks and 104 older adults with functional declines were enrolled. All participants were randomly assigned to a control (usual care plus health education) or exercise group (usual care plus health education plus exercise). Primary outcomes were the change score of Short Physical Performance Battery (SPPB) and activities of daily living (ADL). The secondary outcomes included instrumental activities of daily living, Tinetti scores, Frailty score, short-form Mini Nutritional Assessment, Mini-Mental State Examination, Geriatric Depression Scale-15, the 12-item Short Form Survey, 4-meter gait speed test, 6-min walking distance, grip strength, and body composition analysis. Among the participants, the average age was 85 (82, 88) years. After 12 weeks of follow-up, the exercise group showed a significant improvement in SPPB, with a change of 2 points (95% confidence interval [0, 3.5], P<0.001) compared to control. In contrast, SPPB remained stable in the control group. Compared to the control group, ADL improved in the exercise group, as did instrumental activities of daily living, Tinetti, Frailty, Short Form Survey, 4-meter gait speed test, and 6-min walking distance. Although there was no significant difference between groups in body composition analysis after post-intervention, the exercise group still improved in soft lean mass (P=0.002), fat-free mass (P=0.002), skeletal muscle mass index (P<0.001), fat-free mass index (P=0.004), appendicular skeletal muscle mass (P<0.001), and leg muscle mass (P<0.001), while the control group had no significant increase. No difference was observed in adverse events during trial period. The multicomponent exercise intervention following vivifrail recommendations is an effective method for older adults with functional decline and can reverse the functional decline and improve gait, balance, and muscle strength. Additionally, the 12-week multicomponent exercise method provides guidance for Chinese medical professionals working in the field of geriatrics and is a promising method to improve physical function in the general population.",PubMed,https://pubmed.ncbi.nlm.nih.gov/37997729/,doi:10.1007/s12603-023-2031-9,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
40926079,,10.1007/s11357-025-01877-2,"Resistance training, but not leucine, increased basal muscle protein synthesis and reversed frailty in older women consuming optimized protein intake.",Jacob KJ; Hajj-Boutros G; Sonjak V; Leduc-Gaudet JP; Broering F; Flynn CR; Chevalier S; Lamarche M; Hussain SNA; Morais JA,2025,GeroScience,"Frailty, often linked to sarcopenia, involves reduced muscle strength and mass. While sarcopenia has multiple causes, impaired muscle protein synthesis may contribute. Leucine and resistance training (RT) are anabolic stimuli, but the long-term effects of leucine combined with RT in pre/frail older women remain unclear. This double-blind, placebo-controlled study aimed to assess their impact on muscle anabolism and characteristics in women consuming adequate protein. Pre/frail elderly women (n = 19, 77.5 ± 1.3 y, BMI: 25.1 ± 0.9 kg/m2), underwent 12 weeks of RT with protein-optimized diet (1.2 g⋅kg BW-1⋅d-1) and were randomized to 7.5 g/d of leucine (Leu) or placebo 5.1 g/d alanine (Ala). The primary outcome was myofibrillar fractional synthesis rate (MyoFSR) in the postabsorptive and postprandial states. Secondary outcomes are changes in protein content and expression, 1-repetition maximum, body composition (DXA), and myofiber profiles were investigated. Overall MyoFSR increased by 47%, with a concomitant increase in type 1 and 2a myofiber cross sectional area (CSA) (16% and 28%, respectively), and total lean mass (2%). Total AKT, S6, and AMPKα levels were unchanged. However, AKT and S6 phosphorylation increased postprandially before RT, with no change following RT. The number of Frailty Criteria was reduced by 64%, with improvements in physical function and strength. Leucine had no added anabolic benefit. RT with optimal protein intake significantly improved the Frailty Phenotype and increased basal MyoFSR along with type 1 and 2a myofiber CSA and total lean mass, with no added benefit of leucine supplementation.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40926079/,doi:10.1007/s11357-025-01877-2,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
30891748,,10.1111/jgs.15824,Effects of Multicomponent Exercise on Frailty in Long-Term Nursing Homes: A Randomized Controlled Trial.,Arrieta H; Rezola-Pardo C; Gil SM; Virgala J; Iturburu M; Antón I; González-Templado V; Irazusta J; Rodriguez-Larrad A,2019,Journal of the American Geriatrics Society,"To determine the effect of multicomponent exercise on frailty and related adverse outcomes in residents of long-term nursing homes (LTNHs). A single-blind randomized controlled trial. Ten LTNHs in Gipuzkoa, Spain. The study sample comprised 112 men and women aged 70 years or older who scored 50 or higher on the Barthel Index, 20 or higher on the MEC-35 test (an adapted and validated version of the Mini-Mental State Examination in Spanish), and who were capable of standing up and walking independently for at least 10 m. Subjects in the control group (CG) participated in routine activities. The intervention group (IG) participated in a 6-month program of individualized and progressive multicomponent exercise at moderate intensity. Frailty was assessed by four different scales at baseline and at 6 months. The Barthel Index was measured at baseline and at 12 months. Frailty-related adverse outcomes were recorded from 12 months before to 12 months after starting the intervention. A lower prevalence of frailty was observed in the IG compared with the CG according to Fried's frailty phenotype, Short Physical Performance Battery, and Tilburg Frailty Indicator after 6 months (p < .05). There was a decline in the CG on the Barthel Index after 12 months (p < .05), whereas score was maintained in the IG. Both groups experienced a similar number of falls before and after the intervention (p > .05), but during the 6-month intervention period, fewer falls were observed in the IG than the CG (p < .05). Lower overall mortality was observed 12 months after starting the intervention for the IG than the CG (1 vs 6, respectively; p = .05). Individualized and progressive multicomponent exercise at moderate intensity seems to be effective to prevent falls and reduce frailty and mortality.",PubMed,https://pubmed.ncbi.nlm.nih.gov/30891748/,doi:10.1111/jgs.15824,include_title_abs,Potential eligible RCT at title/abstract stage,B_secondary_fulltext,"Frailty RCT candidate, setting or delivery less directly Indian-primary-care relevant"
