pmid,pmcid,doi,title,authors,year,journal,abstract,source,url,dedupe_key,screen_decision,reason,fulltext_priority,priority_reason
39990981,PMC11846533,10.2147/CIA.S494781,Effect of Exercise and Nutrition Intervention for Older Adults with Impaired Physical Function with Preserved Muscle Mass (Functional Sarcopenia): A Randomized Controlled Trial.,Ji S; Baek JY; Go J; Lee CK; Yu SS; Lee E; Jung HW; Jang IY,2025,Clinical interventions in aging,"Functional sarcopenia is characterized by decreased physical performance and grip strength despite preserved muscle mass. The effectiveness of a program combining exercise and nutritional support-known interventions for individuals with low muscle mass-was evaluated for its impact on older adults with functional sarcopenia. An unblinded, parallel-group randomized controlled trial was conducted in a public medical center in a rural Korean community. Eligible older adults with functional sarcopenia were randomized into either the intervention group, receiving a 12-week program of group exercises and nutritional support, or the control group, receiving education on lifestyle management. Outcomes measured included changes in gait speed, grip strength, physical performance, and quality of life indices. The study enrolled 42 participants, with 21 allocated to each group. Compared with the control group, the intervention group showed significant improvements in the primary outcome of gait speed (mean change (m/s) 0.24 vs 0.00, p<0.001) and secondary outcomes, such as Short Physical Performance Battery scores, grip strength, and quality of life. No significant adverse events were reported. The 12-week exercise and nutritional intervention significantly enhanced physical performance, grip strength, and quality of life among community-dwelling older adults with functional sarcopenia. This suggests that strategies commonly recommended for sarcopenia, including exercise and nutritional support, are also beneficial for individuals with functional sarcopenia, indicating the potential for broader application of such interventions.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39990981/,doi:10.2147/cia.s494781,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
39854716,PMC11806269,10.2196/67846,A 4-Week Mobile App-Based Telerehabilitation Program vs Conventional In-Person Rehabilitation in Older Adults With Sarcopenia: Randomized Controlled Trial.,Zhang L; Ge Y; Zhao W; Shu X; Kang L; Wang Q; Liu Y,2025,Journal of medical Internet research,"Sarcopenia is closely associated with a poor quality of life and mortality, and its prevention and treatment represent a critical area of research. Resistance training is an effective treatment for older adults with sarcopenia. However, they often face challenges when receiving traditional rehabilitation treatments at hospitals. We aimed to compare the effects of a digital rehabilitation program with those of traditional therapist-supervised rehabilitation training on older adults with sarcopenia. In total, 58 older adults with sarcopenia were recruited offline and randomized (1:1) into 2 groups: the telerehabilitation group (TRG, n=29, 50%) and the in-person rehabilitation group (IRG, n=29, 50%). Both groups underwent 4-week resistance training targeting 6 major muscle groups. The TRG received exercise guidance via a mobile app, while the IRG received in-person training from a therapist. Offline assessments of body composition, grip strength, and balance using the 30-Second Arm Curl Test (30SACT), 30-Second Sitting-to-Rising Test (30SSRT), quadriceps femoris extension peak torque (EPT) and extension total power (ETP), Berg Balance Scale (BBS), Timed Up-and-Go Test (TUGT), 6-Minute Walk Test (6MWT), and Instrumental Activities of Daily Living (IADL) scale, were conducted before and after the intervention. Of the 58 patients, 51 (88%; TRG: n=24, 47%; IRG: n=27, 53%) completed the trial. After 4 weeks of intervention, the mean grip strength increased from 18.10 (SD 5.56) to 19.92 (SD 5.90) kg in the TRG (P=.02) and from 18.59 (SD 5.95) to 19.59 (SD 6.11) kg in the IRG (P=.01). The 30SACT and 30SSRT scores increased from 12.48 (SD 2.68) to 14.94 (SD 3.68) times (P=.01) and from 15.16 (SD 7.23) to 16.58 (SD 8.42) times (P=.045), respectively, in the TRG and from 12.25 (SD 4.19) to 14.68 (SD 4.36) times (P=.003) and from 14.31 (SD 4.04) to 16.25 (SD 4.91) times (P=.01), respectively, in the IRG. The quadriceps femoris EPT increased from 26.19 (SD 10.26) to 35.00 (SD 13.74) Nm (P=.004) in the TRG and from 26.95 (SD 11.81) to 32.74 (SD 12.33) Nm (P=.003) in the IRG. The BBS scores significantly improved in both groups (P<.001), with the mean TRG score increasing by 3.19 (SD 2.86) points and the mean IRG score by 3.06 (SD 2.44) points. Neither group exhibited significant within-group changes on the TUGT or the 6MWT. Both groups reported significant improvements in the IADL (TRG: P=.04; IRG: P=.02). Between-group comparisons revealed no significant differences in changes in all indicators. A 4-week remote resistance training program is effective in improving strength, balance, and the IADL in older adults with sarcopenia, with effects comparable to rehabilitation supervised by a physical therapist. Telerehabilitation may be a convenient and effective alternative for older adults with sarcopenia who have limited access to rehabilitation resources. ChiCTR 2300071648; https://www.chictr.org.cn/showprojEN.html?proj=196313.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39854716/,doi:10.2196/67846,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
41371252,PMC12695133,10.1002/jcsm.70163,Efficacy of Baduanjin Exercise for Sarcopenia in Older Adults: A 24-Week Randomized Controlled Trial.,Wu K; Chen X; Long K; Yue S; Li W; Duan X; Zhang J; Liu T; Chen Y; Ye KX,2025,"Journal of cachexia, sarcopenia and muscle","Sarcopenia, a condition characterized by a substantial reduction in muscle mass and decreased muscle function, is a common degenerative condition in older adults. Regular Baduanjin exercise (BE) is deemed an effective intervention for improving muscle function in older adults. It is a traditional Chinese practice of qigong that combines gentle exercise, breathing techniques and meditation, in the elderly population. However, randomized controlled trials on the efficacy of BE in preventing and treating sarcopenia among older adults remain limited. The aim of our study was to assess the efficacy of a systematic BE regimen based on the short physical performance battery (SPPB) in managing sarcopenia. By establishing a clear link between BE and improvements in muscle function, this study reveals valuable insights into nonpharmacological strategies for the prevention and treatment of sarcopenia. This is a 24-week randomized controlled trial involving 90 participants aged 60-77 years who were diagnosed with primary sarcopenia. The participants were randomly assigned by SAS software to either BE or a resistance training (RT) group. Both groups undertook their respective training under professional supervision from July 2022 to August 2023 in Chengdu, China. The intervention consisted of 60-minute sessions, three times a week for 24 weeks. Participants were evaluated at baseline, Week 12 (midintervention) and Week 24 (postintervention) using the primary outcome measure, SPPB, along with secondary indicators, including limb muscle mass, two-handed grip strength and other indicators, which were analysed using a generalized estimating equation (GEE) model. Generalized estimating equations were used to assess 24-week postintervention effects. Among the entire group, which consisted of 13 males and 77 females, significant differences (p < 0.05) were noted between the BE and RT in several measures: SPPB scores (B = 1.94 [95% CI, 1.20-2.68]), balance (B = 0.76 [95% CI, 0.31-1.22]), lower limb strength (B = 0.75 [95% CI, 0.25 to 1.24]), gait speed (B = 0.41 [95% CI, 0.01-0.81]), skeletal muscle index (SMI) (B = 0.37 [95% CI, 0.25-0.50]), left leg muscle mass (B = 0.38 [95% CI, 0.23-0.52]), right leg muscle mass (B = 0.34 [95% CI, 0.17-0.51]) and right hand grip strength (B = 1.56 [95% CI, 1.13-1.99]). No significant differences were found in the muscle mass of the left arm, right arm or left handgrip strength or in the results of the 6-m walk test. Regular BE markedly improved muscle function and increased muscle mass in older adults with sarcopenia, indicating a safe and effective exercise for sarcopenia management. BE, which was tailored using the short physical performance battery assessment, offers a valuable approach to help prevent and treat sarcopenia in older adults. Future research should investigate the long-term effects of varying BE intensities and frequencies in individuals with sarcopenia. Chinese Clinical Trial Registry (ChiCTR2100051871).",PubMed,https://pubmed.ncbi.nlm.nih.gov/41371252/,doi:10.1002/jcsm.70163,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
40937507,PMC12426612,10.1002/jcsm.70060,Enhancing Muscle Quality: Exploring Leucine and Whey Protein in Sarcopenic Individuals.,Ijaz A; Ain HBU; Tufail T; Mariam R; Noreen S; Amjad A; Ikram A; Arshad MT; Abdullahi MA,2025,"Journal of cachexia, sarcopenia and muscle","Sarcopenia is characterised by a decline in the skeletal muscle mass with increasing age. This poses many challenges to the health and independence of older individuals. New and emerging studies have focused on supplementing leucine-enriched whey protein and resistance training in older adults to mitigate the effects of sarcopenia, including significant muscle mass loss. This study aimed to comprehensively analyse the current literature regarding the beneficial effects of leucine-enriched whey protein supplementation in older adults. This article systematically reviewed randomised controlled trials, longitudinal studies, and meta-analyses published between 2011 and 2024. The biochemical mechanisms underlying the anabolic properties of leucine, including its role in protein synthesis and mTOR signalling pathways, were explored to elucidate its potential to enhance muscle protein accretion. Findings from the reviewed studies indicate that the combined intervention of leucine-enriched whey protein supplementation and resistance training elicits favourable outcomes regarding increased lean muscle mass, muscle strength and physical performance in older adults with sarcopenia. The potential of leucine-enriched whey protein to mitigate muscle protein breakdown is discussed along with its potential synergistic effects with resistance exercise to optimise muscle adaptation. Future research directions, including investigations of optimal dosing regimens, long-term sustainability and potential contraindications, are proposed to enhance the precision and applicability of this intervention strategy. Leucine-enriched whey protein supplementation combined with resistance training is beneficial in addressing sarcopenia in older adults. This review consolidates the current understanding of this intervention, highlights its potential benefits and provides insights for future research and clinical applications in geriatric muscle health.",PubMed,https://pubmed.ncbi.nlm.nih.gov/40937507/,doi:10.1002/jcsm.70060,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
39621937,PMC11587998,10.2196/58175,Quantifying the Enhancement of Sarcopenic Skeletal Muscle Preservation Through a Hybrid Exercise Program: Randomized Controlled Trial.,Guo H; Cao J; He S; Wei M; Meng D; Yu I; Wang Z; Chang X; Yang G; Wang Z,2024,JMIR aging,"Sarcopenia is characterized by the loss of skeletal muscle mass and muscle function with increasing age. The skeletal muscle mass of older people who endure sarcopenia may be improved via the practice of strength training and tai chi. However, it remains unclear if the hybridization of strength exercise training and traditional Chinese exercise will have a better effect. We designed a strength training and tai chi exercise hybrid program to improve sarcopenia in older people. Moreover, explainable artificial intelligence was used to predict postintervention sarcopenic status and quantify the feature contribution. To assess the influence of sarcopenia in the older people group, 93 participated as experimental participants in a 24-week randomized controlled trial and were randomized into 3 intervention groups, namely the tai chi exercise and strength training hybrid group (TCSG; n=33), the strength training group (STG; n=30), and the control group (n=30). Abdominal computed tomography was used to evaluate the skeletal muscle mass at the third lumbar (L3) vertebra. Analysis of demographic characteristics of participants at baseline used 1-way ANOVA and χ2 tests, and repeated-measures ANOVA was used to analyze experimental data. In addition, 10 machine-learning classification models were used to calculate if these participants could reverse the degree of sarcopenia after the intervention. A significant interaction effect was found in skeletal muscle density at the L3 vertebra, skeletal muscle area at the L3 vertebra (L3 SMA), grip strength, muscle fat infiltration, and relative skeletal muscle mass index (all P values were <.05). Grip strength, relative skeletal muscle mass index, and L3 SMA were significantly improved after the intervention for participants in the TCSG and STG (all P values were <.05). After post hoc tests, we found that participants in the TCSG experienced a better effect on L3 SMA than those in the STG and participants in the control group. The LightGBM classification model had the greatest performance in accuracy (88.4%), recall score (74%), and F1-score (76.1%). The skeletal muscle area of older adults with sarcopenia may be improved by a hybrid exercise program composed of strength training and tai chi. In addition, we identified that the LightGBM classification model had the best performance to predict the reversion of sarcopenia.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39621937/,doi:10.2196/58175,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
39913030,PMC11802700,10.1007/s40520-025-02935-7,Effects of 12-month physical and cognitive training on sarcopenia determinants in older adults: a subgroup analysis of a randomised clinical trial.,Hämäläinen OO; Savikangas TM; Tirkkonen AK; Alén MJ; Hautala AJ; Sipilä S,2025,Aging clinical and experimental research,"Low physical activity is a major risk for sarcopenia. Whether training according to physical activity guidelines accompanied with cognitive training is effective on sarcopenia, remains unclear. We investigated whether the effects of 12-month physical and cognitive training (PTCT) and physical training (PT) on grip and knee extension strength, muscle mass, and walking speed differed between older adults with and without sarcopenia. Community-dwelling older adults (N = 314, mean age 74.5 ± 3.8 years, 60% women) who did not meet physical activity guidelines were randomized to PTCT and PT groups. PT for both groups included supervised and home-based multicomponent physical training. Cognitive training (CT) included computer-based exercises for executive functioning. Sarcopenia was determined according to the European Working Group on Sarcopenia in Older People 2019 criteria. Generalized estimation equation analysis were conducted. Compared to PT, PTCT had no additive effect on strength, muscle mass, or walking speed in participants with or without sarcopenia. In pooled data (PT + PTCT) change in the grip strength was greater in sarcopenia (n = 49) group compared to non-sarcopenia (n = 264) group (interaction, p =.014). Both groups improved knee extension strength, and walking speed, but no statistically significant difference between the groups were observed. Muscle mass did not change in either group. Physical training according to physical activity recommendations improves muscle strength, walking speed, and maintains muscle mass in sarcopenia. Additional cognitive training had no benefits on these outcomes. ISRCTN52388040 and date of registration 20/1/2017.",PubMed,https://pubmed.ncbi.nlm.nih.gov/39913030/,doi:10.1007/s40520-025-02935-7,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
26694694,,10.1016/j.gerinurse.2015.11.001,Impact of resistance training on sarcopenia in nursing care facilities: A pilot study.,Hassan BH; Hewitt J; Keogh JW; Bermeo S; Duque G; Henwood TR,2016,"Geriatric nursing (New York, N.Y.)","The impact of progressive resistance training on sarcopenia among very old institutionalized adults was investigated. Residents of Nursing Care Facilities were included in a controlled trial of twice weekly resistance and balance exercise program for six months (Age: 85.9 ± 7.5 years, Time in care: 707.1 ± 707.5 days, N = 21 per group). Sarcopenia was measured based on the European Working Group on Sarcopenia in Older People criteria. Of the recruited 42 participants, 35.7% had sarcopenia at baseline, with prevalence increasing in the control group post-intervention (42.9%-52.4%). Following training, the exercise group experienced a significant increase in grip strength when compared to controls (p = .02), and a within-group decrease in body mass index and increase in grip strength (p ≤ .007). Resistance and balance exercise has positive benefits for older adults residing in a nursing care facilities which may transfer to reduce disability and sarcopenia transition, but more work is needed to ensure improved program uptake among residents.",PubMed,https://pubmed.ncbi.nlm.nih.gov/26694694/,doi:10.1016/j.gerinurse.2015.11.001,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
33103379,PMC7749597,10.1002/jcsm.12634,Blended home-based exercise and dietary protein in community-dwelling older adults: a cluster randomized controlled trial.,van den Helder J; Mehra S; van Dronkelaar C; Ter Riet G; Tieland M; Visser B; Kröse BJA; Engelbert RHH; Weijs PJM,2020,"Journal of cachexia, sarcopenia and muscle","Effective and sustainable interventions are needed to counteract the decline in physical function and sarcopenia in the growing aging population. The aim of this study was to determine the 6 and 12 month effectiveness of blended (e-health + coaching) home-based exercise and a dietary protein intervention on physical performance in community-dwelling older adults. This cluster randomized controlled trial allocated 45 clusters of older adults already engaged in a weekly community-based exercise programme. The clusters were randomized to three groups with ratio of 16:15:14; (i) no intervention, control (CON); (ii) blended home-based exercise intervention (HBex); and (iii) HBex with dietary protein counselling (HBex-Pro). Both interventions used a tablet PC with app and personalized coaching and were targeting on behaviour change. The study comprised coached 6 month interventions with a 6 month follow-up. The primary outcome physical performance was assessed by modified Physical Performance Test (m-PPT). Secondary outcomes were gait speed, physical activity level (PAL), handgrip muscle strength, protein intake, skeletal muscle mass, health status, and executive functioning. Linear mixed models of repeated measured were used to assess intervention effects at 6 and 12 months. The population included 245 older adults (mean age 72 ± 6.5 (SD) years), 71% female, and 54% co-morbidities observed. Dropout of the intervention was 18% at 6 months and 26% at 12 months. Participants were well functioning, based on an m-PPT score of 33.9 (2.8) out of 36. For the primary outcome m-PPT, no significant intervention effects (HBex, +0.03, P = 0.933; HBex-Pro, -0.13, P = 0.730) were found. Gait speed (+0.20 m/s, P = 0.001), PAL (+0.06, P = 0.008), muscle strength (+2.32 kg, P = 0.001), protein intake (+0.32 g/kg/day, P < 0.001), and muscle mass (+0.33 kg, P = 0.017) improved significantly in the HBex-Pro group compared with control group after 6 month intervention. The protein intake, muscle mass, and strength remained significantly improved after 12 months as compared with those of control. Health change and executive functioning improved significantly in both intervention groups after 6 months. This HBex and dietary protein interventions did not change the physical performance (m-PPT) in community-dwelling older adults. Changes were observed in gait speed, PAL, muscle mass, strength, and dietary protein intake, in response to this combined intervention.",PubMed,https://pubmed.ncbi.nlm.nih.gov/33103379/,doi:10.1002/jcsm.12634,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
32397192,PMC7291119,10.3390/jcm9051386,Effects of a Multicomponent Exercise Program in Physical Function and Muscle Mass in Sarcopenic/Pre-Sarcopenic Adults.,Makizako H; Nakai Y; Tomioka K; Taniguchi Y; Sato N; Wada A; Kiyama R; Tsutsumimoto K; Ohishi M; Kiuchi Y,2020,Journal of clinical medicine,"This study aimed to assess the effects of a multicomponent exercise program on physical function and muscle mass in older adults with sarcopenia or pre-sarcopenia. Moreover, we aim to standardize the exercise program for easy incorporation in the daily life of community-dwelling older adults as a secondary outcome. A single-blind randomized controlled trial was conducted with individuals (≥60 years) who had sarcopenia or pre-sarcopenia (n = 72). Participants were randomly assigned to the exercise and control groups. The exercise program consisted of 12 weekly 60-minute sessions that included resistance, balance, flexibility, and aerobic training. Outcome measures were physical function and muscle mass. Assessments were conducted before and immediately after the intervention. Among the 72 participants (mean age: 75.0 ± 6.9 years; 70.8% women), 67 (93.1%) completed the trial. Group-by-time interactions on the chair stand (p = 0.02) and timed ""up and go"" (p = 0.01) tests increased significantly in the exercise group. Although the exercise group showed a tendency to prevent loss of muscle mass, no significant interaction effects were observed for cross-sectional muscle area and muscle volume. The 12-week exercise program improved physical function in the intervention group. Although it is unclear whether the program is effective in increasing muscle mass, a multicomponent exercise program would be an effective treatment for physical function among older adults with sarcopenia.",PubMed,https://pubmed.ncbi.nlm.nih.gov/32397192/,doi:10.3390/jcm9051386,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
38500043,PMC10946144,10.1186/s12877-024-04860-2,Effects of oral oligopeptide preparation and exercise intervention in older people with sarcopenia: a randomized controlled trial.,Liao X; Cheng D; Li J; Zhu L; Zhang S; Jing X; Shi L,2024,BMC geriatrics,"Nutrition and exercise are important interventions for sarcopenia. There were few studies on oral oligopeptide nutrition preparations combined with exercise to intervene in the older people with sarcopenia. The aim of this study was to verify the effectiveness of oligopeptide nutrition preparation combined with exercise intervention on the older people with sarcopenia in community. A total of 219 subjects aged 65 years or older with sarcopenia were randomly divided into 4 groups. The nutrition group (n = 58) was given individualized nutrition education and oral oligopeptide nutrition preparation. The exercise group (n = 50) received exercise intervention. The combined group (n = 52) received both oral nutrition preparation and exercise interventions. The control group (n = 59) only received individualized nutrition education. The nutrition preparation can provide energy 185kcal and protein 24.2g per day. The exercise intervention including warm-up exercise, resistance exercise and aerobic exercise, the training time was 60min for 5 times every week. The intervention lasted for 16 weeks. Hand grip strength, gait speed, body composition and hematology parameters were measured before and after intervention. A total of 159 subjects completed the study. Compared with baseline, the left grip strength and 6-m walking speed of the subjects in nutrition group increased significantly after the intervention, and the grip strength of both hands in exercise group and combined group increased significantly. The body weight of the subjects in nutrition group, exercise group and combined group increased significantly after intervention, but no increase in soft lean mass (SLM) and skeletal muscle mass (SMM) was observed in any of the four groups. The fat-free mass (FFM) of the legs of the control group, exercise group and nutrition group decreased after intervention, and only the FFM of the legs of the combined group maintained the level before the intervention. Both oral peptide nutrition and exercise interventions can improve the muscle strength or function of the older people with sarcopenia. However, there were no increases in muscle mass observed. ChiCTR, ChiCTR2100052135. Registered 20 October 2021, https://www.chictr.org.cn/showproj.html?proj=135743.",PubMed,https://pubmed.ncbi.nlm.nih.gov/38500043/,doi:10.1186/s12877-024-04860-2,include_title_abs,Potential eligible RCT at title/abstract stage,C_sarcopenia_secondary,Community sarcopenia RCT; secondary stratum
