pmcid,table_index,table_label,outcome,arm_signal,numeric_tokens,candidate_numeric_context,effect_extract_status,extractor_note,pmid,doi,title,intervention_node_prelim
PMC10720710,1,Table 1,frailty_status_or_score,yes,62,"Table 1. Baseline sociodemographic and medical characteristics of the frail/pre-frail older adults.. Table 1 Baseline sociodemographic and medical characteristics of the frail/pre-frail older adults. Total ( n = 163) Control group ( n = 83) Educational group ( n = 80) p Sex, n (%) Men 54 (33.1) 37 (44.6) 17 (21.3) 0.001 Women 109 (66.9) 46 (55.4) 63 (78.8) Age (years, median [IQR]) 73.9 [69.4–78.9] 74.9 [70.8–80.7] 73.1 [68.5–76.5] 0.019 Height (cm, mean ± SD) 1.59 ± 0.09 1.62 ± 0.09 1.56 ± 0.09 0.001 Body mass 74.35 ± 14.90 75.96 ± 15.77 72.90 ± 14.41 0.16 Schoolarity, n (%) Less than primary school 25 (15.3) 12 (14.5) 13 (16.2) 0.013 Primary school 77 (47.2) 49 (59.0) 28 (35.0) Secondary school 39 (24.0) 15 (18.1) 24 (30.0) University and above 22 (13.5) 7 (8.4) 15 (18.8) Housing, n (%) Not alone 99 (62.7) 54 (68.4) 45 (57.0) 0.124 Alone 59 (37.3) 25 (42.4) 34 (43.0) Need for walking assistance, n (%) No 125 (80.1) 57 (74.0) 68 (86.1) 0.059 Yes 31 (19.9) 20 (",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10720710,2,Table 2,frailty_status_or_score,yes,54,"Table 2. Comparison of participant frailty outcomes before and after the intervention.. Table 2 Comparison of participant frailty outcomes before and after the intervention. Control group (83) Educational group (80) PRE POST PRE POST Total fried (points, median [IQR]) 2.0 [2.0–3.0] 2.0 [1.0–3.0] 2.0 [1.0–2.0]† 1.0 [0.0–2.0]*† Fried’s category, n (%) Robust 0 (0) 0 (0) 0 (0) 24 (30)*† Pre-frail 45 (54,2) 43 (51.8) 65 (81.3)† 50 (62.5)*† Frail 38 (45,8) 40 (48.2) 15 (18.8)† 6 (7.5)* Unintended weight loss, n (%) Lost <5% of body mass 52 (62.7) 69 (83.1) 57 (71.3) 68 (85)* Lost >5% of body mass 31 (37.3) 14 (16.9) 23 (28.8) 12 (15)* Self-reported exhaustion and fatigue, n (%) Did not meet the criteria 23 (27.7) 21 (25.3) 20 (25) 40 (50)*† Met the criteria 60 (72.3) 62 (74.7) 60 (75) 40 (50)*† Physical activity expenditure, n (%) Low 14 (16.9) 19 (22.9) 4 (5)† 11 (13.8) Normal 69 (83.1) 63 (75.9) 76 (95)† 69 (86.3)* Gait speed, n (%",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10720710,2,Table 2,gait_speed,yes,73,"ticipant frailty outcomes before and after the intervention.. Table 2 Comparison of participant frailty outcomes before and after the intervention. Control group (83) Educational group (80) PRE POST PRE POST Total fried (points, median [IQR]) 2.0 [2.0–3.0] 2.0 [1.0–3.0] 2.0 [1.0–2.0]† 1.0 [0.0–2.0]*† Fried’s category, n (%) Robust 0 (0) 0 (0) 0 (0) 24 (30)*† Pre-frail 45 (54,2) 43 (51.8) 65 (81.3)† 50 (62.5)*† Frail 38 (45,8) 40 (48.2) 15 (18.8)† 6 (7.5)* Unintended weight loss, n (%) Lost <5% of body mass 52 (62.7) 69 (83.1) 57 (71.3) 68 (85)* Lost >5% of body mass 31 (37.3) 14 (16.9) 23 (28.8) 12 (15)* Self-reported exhaustion and fatigue, n (%) Did not meet the criteria 23 (27.7) 21 (25.3) 20 (25) 40 (50)*† Met the criteria 60 (72.3) 62 (74.7) 60 (75) 40 (50)*† Physical activity expenditure, n (%) Low 14 (16.9) 19 (22.9) 4 (5)† 11 (13.8) Normal 69 (83.1) 63 (75.9) 76 (95)† 69 (86.3)* Gait speed, n (%) Low 28 (33.7) 38 (45.8) 22 (27.5) 13 (16.3)† Normal 55 (66.3) 45 (54.2) 58 (72.5) 67 (83.8)† Handgrip strength, n (%) Low 69 (83.1) 69 (83.1) 39 (48.8) 20 (25)* Normal 14 (16.9) 14 (16.9) 41 (51.3) 60 (75)* IQR, interquartile range[percentile 25 – percentile 75]. * p < 0.05 compared to the pre-intervention moment within the same group; † p < 0.05 compared to the control group at the same moment.",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10720710,2,Table 2,grip_strength,yes,72,"s before and after the intervention. Control group (83) Educational group (80) PRE POST PRE POST Total fried (points, median [IQR]) 2.0 [2.0–3.0] 2.0 [1.0–3.0] 2.0 [1.0–2.0]† 1.0 [0.0–2.0]*† Fried’s category, n (%) Robust 0 (0) 0 (0) 0 (0) 24 (30)*† Pre-frail 45 (54,2) 43 (51.8) 65 (81.3)† 50 (62.5)*† Frail 38 (45,8) 40 (48.2) 15 (18.8)† 6 (7.5)* Unintended weight loss, n (%) Lost <5% of body mass 52 (62.7) 69 (83.1) 57 (71.3) 68 (85)* Lost >5% of body mass 31 (37.3) 14 (16.9) 23 (28.8) 12 (15)* Self-reported exhaustion and fatigue, n (%) Did not meet the criteria 23 (27.7) 21 (25.3) 20 (25) 40 (50)*† Met the criteria 60 (72.3) 62 (74.7) 60 (75) 40 (50)*† Physical activity expenditure, n (%) Low 14 (16.9) 19 (22.9) 4 (5)† 11 (13.8) Normal 69 (83.1) 63 (75.9) 76 (95)† 69 (86.3)* Gait speed, n (%) Low 28 (33.7) 38 (45.8) 22 (27.5) 13 (16.3)† Normal 55 (66.3) 45 (54.2) 58 (72.5) 67 (83.8)† Handgrip strength, n (%) Low 69 (83.1) 69 (83.1) 39 (48.8) 20 (25)* Normal 14 (16.9) 14 (16.9) 41 (51.3) 60 (75)* IQR, interquartile range[percentile 25 – percentile 75]. * p < 0.05 compared to the pre-intervention moment within the same group; † p < 0.05 compared to the control group at the same moment.",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10720710,3,Table 3,sppb,yes,157,"Table 3. Comparison of participant outcomes before and after the intervention.. Table 3 Comparison of participant outcomes before and after the intervention. Control group (83) Educational group (80) PRE POST PRE POST Physical function Side-by-side test (s, median [IQR]) 10.0 [0.7–10.0] 10.0 [7.1–10.0]* 10.0 [10.0–10.0]† 10.0 [10.0–10.0]† Semi tandem test (s, median [IQR]) 10.0 [0.0–10.0] 10.0 [0.0–10.0] 10.0 [10.0–10.0]† 10.0 [10.0–10.0]† Tandem test (s, median [IQR]) 3.2 [0.0–10.0] 3.1 [0.0–10.0] 10.0 [4.5–10.0]† 10.0 [8.0–10.0]*† 4-meter gait test (s, median [IQR]) 5.3 [4.5–7.3] 6.2 [4.8–10.1]* 4.9 [4.1–6.0]† 4.2 [4.0–5.7]*† Five-repetition sit-to-stand test (s, median [IQR]) 15.0 [12.0–40.0] 17.7 [12.9–39.9] 15.3 [11.9–19.9]† 11.1 [9.6–13.8]*† SPPB score (points, median [IQR]) 7.0 [4.8–9.0] 6.0 [4.0–8.0]* 9.0 [8.0–10.0]† 10.0 [9.0–12.0]*† Handgrip strength (kg, median [IQR]) 20.0 [13.6–26.9] 20.0 [12.5–26.6] 20.6 [17.3–27.2]† 20.1 [16.6–26.3] STS relative muscle power (W/kg, median [IQR]) 0.6 [0.2–0.8] 0.5 [0.2–0.6] 0.6 [0.4–0.8] 0.8 [0.6–1.0]*† Physical activity Inactitivy (min/day, mean ± sd) 802.26 ± 139.74 810.4 ± 131.97 829.31 ± 110.43 836.49 ± 104.27 MVPA (min/day, median [IQR]) 0.0 [0.0–11.3] 3.2 [0.0–22.5] 1.7 [0.0–8.3] 1.7 [0.0–9.1] LPA (min/day, mean ± sd) 116.24 ± 140.34 103.27 ± 62.53 98.98 ± 47.21 91.67 ± 47.14 Sleep behaviour Bedtime (h/day, mean ± sd) 7.69 ± 1.48 8.21 ± 1.80 7.71 ± 1.53 7.97 ± 1.44 Sleep time (h/day, mean ± sd) 6.38 ± 1.46 6.82 ± 1.67 6.66 ± 1.41 6.94 ± 1.32 Awakenings (number/day, mean ± sd) 12.98 ± 4.31 14.30 ± 4.55* 13.44 ± 4.27 13.33 ± 4.42 Sleep efficiency (%, median [IQR]) 86.6 [82.2–89.9] 85.",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10720710,3,Table 3,grip_strength,yes,167,"Table 3. Comparison of participant outcomes before and after the intervention.. Table 3 Comparison of participant outcomes before and after the intervention. Control group (83) Educational group (80) PRE POST PRE POST Physical function Side-by-side test (s, median [IQR]) 10.0 [0.7–10.0] 10.0 [7.1–10.0]* 10.0 [10.0–10.0]† 10.0 [10.0–10.0]† Semi tandem test (s, median [IQR]) 10.0 [0.0–10.0] 10.0 [0.0–10.0] 10.0 [10.0–10.0]† 10.0 [10.0–10.0]† Tandem test (s, median [IQR]) 3.2 [0.0–10.0] 3.1 [0.0–10.0] 10.0 [4.5–10.0]† 10.0 [8.0–10.0]*† 4-meter gait test (s, median [IQR]) 5.3 [4.5–7.3] 6.2 [4.8–10.1]* 4.9 [4.1–6.0]† 4.2 [4.0–5.7]*† Five-repetition sit-to-stand test (s, median [IQR]) 15.0 [12.0–40.0] 17.7 [12.9–39.9] 15.3 [11.9–19.9]† 11.1 [9.6–13.8]*† SPPB score (points, median [IQR]) 7.0 [4.8–9.0] 6.0 [4.0–8.0]* 9.0 [8.0–10.0]† 10.0 [9.0–12.0]*† Handgrip strength (kg, median [IQR]) 20.0 [13.6–26.9] 20.0 [12.5–26.6] 20.6 [17.3–27.2]† 20.1 [16.6–26.3] STS relative muscle power (W/kg, median [IQR]) 0.6 [0.2–0.8] 0.5 [0.2–0.6] 0.6 [0.4–0.8] 0.8 [0.6–1.0]*† Physical activity Inactitivy (min/day, mean ± sd) 802.26 ± 139.74 810.4 ± 131.97 829.31 ± 110.43 836.49 ± 104.27 MVPA (min/day, median [IQR]) 0.0 [0.0–11.3] 3.2 [0.0–22.5] 1.7 [0.0–8.3] 1.7 [0.0–9.1] LPA (min/day, mean ± sd) 116.24 ± 140.34 103.27 ± 62.53 98.98 ± 47.21 91.67 ± 47.14 Sleep behaviour Bedtime (h/day, mean ± sd) 7.69 ± 1.48 8.21 ± 1.80 7.71 ± 1.53 7.97 ± 1.44 Sleep time (h/day, mean ± sd) 6.38 ± 1.46 6.82 ± 1.67 6.66 ± 1.41 6.94 ± 1.32 Awakenings (number/day, mean ± sd) 12.98 ± 4.31 14.30 ± 4.55* 13.44 ± 4.27 13.33 ± 4.42 Sleep efficiency (%, median [IQR]) 86.6 [82.2–89.9] 85.3 [81.1–88.7] 84.8 [81.1–91.0] 87.8 [81.1–91.0] Nutritional assessment IMC (kg/m2, mean ± sd) 28.85 ±",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,38098822.0,10.3389/fpubh.2023.1267666,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",nutrition_only
PMC10826892,1,Table 1.,frailty_status_or_score,yes,40,"Table 1.. Comparison of Baseline Sociodemographic, Clinical, and Frailty between Intervention Arms. Table 1. Comparison of Baseline Sociodemographic, Clinical, and Frailty between Intervention Arms Variable HAP-E (N=80) TC (N=87) Test Statistic (95% CI) Sociodemographics Age 73.2 (7.7) 71.6 (7.5) d = 0.22 (−0.09, 0.52) % Female 68% 72% OR = 1.21 (0.59, 2.50) Race (%White) 82% 90% OR = 2.01 (0.73, 5.92) % Married/Partnered 33% 36% OR = 1.14 (0.58, 2.30) % College Educated 50% 60% OR = 1.57 (0.81, 3.08) Clinical SBP (mmHg) 135.7 (20.2) 134.1 (16.3) d = 0.09 (−0.23, 0.41) DBP (mmHg) 69.3 (10.0) 69.5 (9.6) d = −0.02 (−0.33, 0.29) BMI (kg/m 2 ) 28.8 (6.1) 29.9 (6.9) d = −0.18 (−0.48, 0.13) MoCA 25.2 (3.2) 25.4 (3.7) d = −0.06 (−0.37, 0.25) % Frail (FI ≥ 0.25) 36% 31% OR = 1.26 (0.63, 2.53) Frailty Index (FI) 0.224 (0.10) 0.224 (0.09) d = 0.00 (−0.31, 0.31) Means (SD) and proportions (%) for sociodemographic and clinical variables at baseline between two intervent",candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,37458963.0,10.1007/s40520-023-02504-w,Tai Chi versus health education as a frailty intervention for community-dwelling older adults with hypertension.,mind_body
PMC10851592,,,,no,0,,no_candidate_table_found,No relevant outcome table was identified by text mining; author must inspect full text manually.,38326734.0,10.1186/s12877-024-04736-5,Effects of high-intensity training on fatty infiltration in paraspinal muscles in elderly males with osteosarcopenia - the randomized controlled FrOST study.,exercise_only
PMC11411904,3,Table 3,frailty_status_or_score,yes,51,Table 3. Distribution of Individual Variables in the Frail-VIG Scale. Table 3 Distribution of Individual Variables in the Frail-VIG Scale Domain S.No. Variable Description Baseline End-line Intervention Group ( N =60)n(%) Control Group ( N =61)n(%) 𝝌 2 value p value Intervention Group ( N =57)n(%) Control Group ( N =52)n(%) 𝝌 2 value p value Functional 1 IADL Money management Needs help managing financial matters 15 (25.0) 11 (18.0) 0.870 0.351 11 (19.3) 9 (17.3) 0.072 0.78 2 Telephone use Needs help using the telephone 43 (71.7) 49 (80.3) 1.250 0.264 39 (68.4) 43 (82.7) 2.972 0.08 3 Medications Needs assistance in preparing or administering medications 46 (76.7) 51 (83.60 0.916 0.338 11 (19.3) 45 (86.5) 49.215 0.001 4 ADL* Barthel Index (BI) No dependency (BI ≥95) 1 (1.7) 0 (0.0) - - 1 (1.7) 0 (0.0) - - Mild - moderate dependency (BI 90-65) 45 (75.0) 46 (75.4) 0.12 0.912 46 (80.7) 38 (73) 1.282 0.25 Moderate - severe dependency (BI 60-25) 14 (,candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,39300347.0,10.1186/s12877-024-05351-0,Hybrid model of care for older persons for improvement of frailty index-a community-based interventional study in an urban setting.,multidomain
PMC11411904,3,Table 3,adl_iadl,yes,74,Table 3. Distribution of Individual Variables in the Frail-VIG Scale. Table 3 Distribution of Individual Variables in the Frail-VIG Scale Domain S.No. Variable Description Baseline End-line Intervention Group ( N =60)n(%) Control Group ( N =61)n(%) 𝝌 2 value p value Intervention Group ( N =57)n(%) Control Group ( N =52)n(%) 𝝌 2 value p value Functional 1 IADL Money management Needs help managing financial matters 15 (25.0) 11 (18.0) 0.870 0.351 11 (19.3) 9 (17.3) 0.072 0.78 2 Telephone use Needs help using the telephone 43 (71.7) 49 (80.3) 1.250 0.264 39 (68.4) 43 (82.7) 2.972 0.08 3 Medications Needs assistance in preparing or administering medications 46 (76.7) 51 (83.60 0.916 0.338 11 (19.3) 45 (86.5) 49.215 0.001 4 ADL* Barthel Index (BI) No dependency (BI ≥95) 1 (1.7) 0 (0.0) - - 1 (1.7) 0 (0.0) - - Mild - moderate dependency (BI 90-65) 45 (75.0) 46 (75.4) 0.12 0.912 46 (80.7) 38 (73) 1.282 0.25 Moderate - severe dependency (BI 60-25) 14 (23.3) 15 (24.6) 10 (17.6) 14 (26.9) Absolute dependency (BI ≤20) 0 (0.0) 0 (0.0) - - 0 (0.0) 0 (0.0) - - Nutrition 5 Malnutrition Weight loss ≥5% in the last 6 months 33 (55.0) 32 (52.5) 0.08 0.779 8 (14.0) 36 (69.2) 34.415 0.001 Cognitive # 6 Degree of cognitive impairment No impairment (GDS=1) 49 (81,candidate_table_found,Requires author extraction of arm-level n/mean/SD or events/denominators.,39300347.0,10.1186/s12877-024-05351-0,Hybrid model of care for older persons for improvement of frailty index-a community-based interventional study in an urban setting.,multidomain
