pmcid,candidate_table_rows,outcomes_detected
PMC10720710,6,frailty_status_or_score;gait_speed;grip_strength;sppb
PMC10826892,1,frailty_status_or_score
PMC10851592,0,
PMC11411904,10,adl_iadl;falls;frailty_status_or_score;gait_speed;sppb
PMC11523852,2,frailty_status_or_score
PMC12092390,0,
PMC12188645,4,falls;frailty_status_or_score;grip_strength;quality_of_life
PMC12275761,0,
PMC12280510,4,gait_speed;grip_strength
PMC12285095,8,frailty_status_or_score;gait_speed;grip_strength;sppb
PMC12579327,0,
PMC12624186,1,frailty_status_or_score
PMC12754865,1,frailty_status_or_score
PMC12790065,9,adl_iadl;adverse_events;frailty_status_or_score;gait_speed;grip_strength;quality_of_life;sppb
PMC12820345,6,frailty_status_or_score;gait_speed
PMC12877681,2,frailty_status_or_score
PMC12880481,4,frailty_status_or_score;gait_speed;grip_strength
PMC12929997,14,adherence;adl_iadl;falls;frailty_status_or_score;gait_speed;grip_strength;sppb
PMC12968357,4,adl_iadl;frailty_status_or_score;gait_speed;sppb
PMC13008612,3,frailty_status_or_score;quality_of_life
PMC13064644,4,grip_strength;sppb
PMC3490887,9,adl_iadl;frailty_status_or_score;grip_strength;quality_of_life
PMC4511529,13,adverse_events;falls;frailty_status_or_score;quality_of_life
PMC5042153,4,gait_speed;grip_strength
PMC5326822,10,adl_iadl;frailty_status_or_score;gait_speed;grip_strength;quality_of_life
PMC5351552,5,adl_iadl;gait_speed;grip_strength;sppb
PMC6008824,1,gait_speed
PMC6248206,6,adl_iadl;falls;frailty_status_or_score;grip_strength;sppb
PMC7312630,7,frailty_status_or_score;gait_speed;grip_strength;quality_of_life
PMC7373606,1,frailty_status_or_score
PMC7545899,7,adl_iadl;frailty_status_or_score;quality_of_life;sppb
PMC7913348,3,frailty_status_or_score
PMC8385532,5,frailty_status_or_score;gait_speed;grip_strength
PMC8499414,5,frailty_status_or_score;gait_speed;grip_strength;sppb
PMC8994906,1,frailty_status_or_score
PMC9245897,0,
PMC9320394,5,adherence;frailty_status_or_score;grip_strength
PMC9634412,12,adl_iadl;falls;frailty_status_or_score;gait_speed;grip_strength
PMC9799251,9,adl_iadl;frailty_status_or_score;gait_speed;grip_strength;sppb
