study_id,pmid,domain,judgement,support_for_judgement,reviewer,second_author_checked,consensus_judgement
FRAIL-001,42131895,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-001,42131895,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-001,42131895,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-001,42131895,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-001,42131895,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-001,42131895,overall,,,Dr Siddalingaiah H S,,
FRAIL-002,42004413,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-002,42004413,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-002,42004413,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-002,42004413,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-002,42004413,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-002,42004413,overall,,,Dr Chandrakala D,,
FRAIL-003,41796126,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-003,41796126,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-003,41796126,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-003,41796126,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-003,41796126,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-003,41796126,overall,,,Dr Siddalingaiah H S,,
FRAIL-004,41677077,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-004,41677077,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-004,41677077,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-004,41677077,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-004,41677077,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-004,41677077,overall,,,Dr Chandrakala D,,
FRAIL-005,41658611,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-005,41658611,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-005,41658611,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-005,41658611,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-005,41658611,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-005,41658611,overall,,,Dr Siddalingaiah H S,,
FRAIL-006,41354090,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-006,41354090,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-006,41354090,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-006,41354090,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-006,41354090,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-006,41354090,overall,,,Dr Chandrakala D,,
FRAIL-007,41120990,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-007,41120990,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-007,41120990,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-007,41120990,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-007,41120990,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-007,41120990,overall,,,Dr Siddalingaiah H S,,
FRAIL-008,41095572,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-008,41095572,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-008,41095572,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-008,41095572,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-008,41095572,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-008,41095572,overall,,,Dr Chandrakala D,,
FRAIL-009,41035820,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-009,41035820,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-009,41035820,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-009,41035820,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-009,41035820,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-009,41035820,overall,,,Dr Siddalingaiah H S,,
FRAIL-010,40969786,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-010,40969786,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-010,40969786,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-010,40969786,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-010,40969786,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-010,40969786,overall,,,Dr Chandrakala D,,
FRAIL-011,40938877,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-011,40938877,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-011,40938877,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-011,40938877,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-011,40938877,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-011,40938877,overall,,,Dr Siddalingaiah H S,,
FRAIL-012,40749218,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-012,40749218,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-012,40749218,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-012,40749218,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-012,40749218,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-012,40749218,overall,,,Dr Chandrakala D,,
FRAIL-013,40695991,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-013,40695991,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-013,40695991,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-013,40695991,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-013,40695991,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-013,40695991,overall,,,Dr Siddalingaiah H S,,
FRAIL-014,40514302,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-014,40514302,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-014,40514302,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-014,40514302,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-014,40514302,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-014,40514302,overall,,,Dr Chandrakala D,,
FRAIL-015,40471669,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-015,40471669,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-015,40471669,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-015,40471669,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-015,40471669,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-015,40471669,overall,,,Dr Siddalingaiah H S,,
FRAIL-016,40367490,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-016,40367490,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-016,40367490,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-016,40367490,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-016,40367490,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-016,40367490,overall,,,Dr Chandrakala D,,
FRAIL-017,40121486,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-017,40121486,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-017,40121486,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-017,40121486,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-017,40121486,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-017,40121486,overall,,,Dr Siddalingaiah H S,,
FRAIL-018,40005003,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-018,40005003,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-018,40005003,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-018,40005003,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-018,40005003,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-018,40005003,overall,,,Dr Chandrakala D,,
FRAIL-019,39997521,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-019,39997521,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-019,39997521,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-019,39997521,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-019,39997521,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-019,39997521,overall,,,Dr Siddalingaiah H S,,
FRAIL-020,39954533,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-020,39954533,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-020,39954533,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-020,39954533,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-020,39954533,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-020,39954533,overall,,,Dr Chandrakala D,,
FRAIL-021,39871464,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-021,39871464,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-021,39871464,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-021,39871464,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-021,39871464,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-021,39871464,overall,,,Dr Siddalingaiah H S,,
FRAIL-022,39652737,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-022,39652737,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-022,39652737,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-022,39652737,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-022,39652737,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-022,39652737,overall,,,Dr Chandrakala D,,
FRAIL-023,39580545,D1_randomization_process,,,Dr Siddalingaiah H S,,
