study_id,pmid,pmcid,title,primary_reviewer,second_reviewer,fulltext_access_status,country,setting_final,design_final,cluster_randomized,sample_size_randomized_total,sample_size_analyzed_total,mean_age,female_percent,frailty_definition,baseline_frailty_severity,intervention_name,intervention_components_final,exercise_type,nutrition_component,digital_or_home_support,personnel_required,dose_frequency,session_duration_minutes,intervention_duration_weeks,comparator_final,follow_up_timepoint_primary,primary_outcome_for_synthesis,effect_measure_preferred,notes_for_effect_size_conversion,final_include_for_meta,final_include_for_nma
FRAIL-001,42131895,PMC13173293,Home-Based Intervention to Prevent Functional Decline in (Pre)frail Older Adults: The PromeTheus Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-002,42004413,PMC13091225,Effects of multicomponent exercise on frailty in older adults with type 2 diabetes: Differential responses by metabolic frailty phenotype.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-003,41796126,PMC13086931,The ActivLife exergame rehabilitation program improves functional abilities in pre-frail and frail older adults: a clinical trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-004,41677077,PMC12895478,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-005,41658611,PMC12879047,"Feasibility and acceptability of a remotely delivered, home-based ""exercise snacking"" to improve physical function in community-dwelling older adults: a 28-day pilot study.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-006,41354090,PMC12682371,Why didn't the senior citizen cross the road? Gait speed in community-dwelling older adults with mobility limitations relative to pedestrian crossing times.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-007,41120990,PMC12538938,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-008,41095572,PMC12524544,Targeted Physical Function Exercises for Frailty and Falls Management in Pre-Frail Community-Dwelling Older Adults: A Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-009,41035820,PMC12479488,Effects of exercise-cognitive dual-task training on cognitive frailty in older adults: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-010,40969786,PMC12441017,Effect of a multicomponent intervention on institutionalization-free survival in older adults with sarcopenia: a,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-011,40938877,PMC12431197,The impact of outdoor walking interventions on frailty among older adults with mobility limitations: Findings from the Getting Older Adults Outdoors (GO-OUT) study.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-012,40749218,PMC12316439,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-013,40695991,PMC12284115,A randomized controlled trial of mobile intervention using health support bubbles to prevent social frailty.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-014,40514302,PMC12413722,Tailoring multidomain intervention programs to reduce cognitive and physical decline in older adults: Examining rural-urban differences in a nationwide cluster-randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-015,40471669,PMC12179572,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-016,40367490,PMC12094531,"Frailty, Fitness, and Quality of Life Outcomes of a Healthy and Productive Aging Program (GrandMove) for Older Adults With Frailty or Prefrailty: Cluster Randomized Controlled Trial.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-017,40121486,PMC11929174,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-018,40005003,PMC11858716,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-019,39997521,PMC11855813,Effects of Twelve Weeks of Square Stepping Exercises on Physical and Cognitive Function and Plasma Content of SMP30: A Randomised Control Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-020,39954533,PMC12179999,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-021,39871464,PMC11786508,Effects of Remote Exercise on Physical Function in Pre-Frail Older Adults: A Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-022,39652737,PMC11614458,A 24-Week Combined Resistance and Balance Training Program Improves Physical Function in Older Adults: A Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-023,39580545,PMC11981931,Effect of individually tailored nutritional counseling on frailty status in older adults with protein-energy malnutrition or risk of it: an intervention study among home care clients.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-024,39478450,PMC11523852,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-025,39390362,PMC11465814,Effectiveness of community-based Baduanjin exercise intervention for older adults with varying frailty status: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-026,39354527,PMC11443903,"A single-center, double-blind, randomized, placebo-controlled, two-arm study to evaluate the safety and efficacy of once-weekly sirolimus (rapamycin) on muscle strength and endurance in older adults following a 13-week exercise program.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-027,39211745,PMC11358125,"Underweight, overweight, and weight change in older family caregivers and their care recipients: longitudinal evidence from a randomized controlled trial.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-028,38111605,PMC10725933,Medium-chain triglycerides (8:0 and 10:0) increase muscle mass and function in frail older adults: a combined data analysis of clinical trials.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-029,37960913,PMC12880481,Hybrid Exercise Program Enhances Physical Fitness and Reverses Frailty in Older Adults: Insights and Predictions from Machine Learning.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-030,37875291,PMC10751415,Dose-response effects of resistance training on physical function in frail older Chinese adults: A randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-031,37357328,PMC10230140,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-032,37328797,PMC10273765,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-033,37049448,PMC10097015,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-034,36673644,PMC9859571,Effect of the Active Aging-in-Place-Rehabilitation Nursing Program: A Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-035,36636457,PMC9830714,Protein-Added Healthy Lunch-Boxes Combined with Exercise for Improving Physical Fitness and Vascular Function in Pre-Frail Older Women: A Community-Based Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-036,36528997,PMC9757806,Efficacy of a multicomponent exercise training program intervention in community-dwelling older adults during the COVID-19 pandemic: A cluster randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-037,36426763,PMC10100027,"Adherence, safety and potential effectiveness of a home-based Radio-Taiso exercise program in older adults with frailty: A pilot randomized controlled trial.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-038,36341237,PMC9634412,Intrinsic capacity rather than intervention exposure influences reversal to robustness among prefrail community-dwelling older adults: A non-randomized controlled study of a multidomain exercise and nutrition intervention.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-039,35887850,PMC9320394,Frailty Status Improvement after 5-Month Multicomponent Program PROMUFRA in Community-Dwelling Older People: A Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-040,35766913,PMC9388057,"Encouraging older adults with pre-frailty and frailty to ""MoveStrong"": an analysis of secondary outcomes for a pilot randomized controlled trial.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-041,35399053,PMC8994906,The effects of vitamin D supplementation on frailty in older adults at risk for falls.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-042,34725661,PMC12929997,"Association of Pain and Impact of Dual-Task Exercise on Function, Cognition and Quality of Life.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-043,34620081,PMC8499414,Effectiveness of a community-delivered pneumatic machine resistance training programme (Gym Tonic) for older adults at neighbourhood senior centres - a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-044,34449605,PMC8395892,Enhancement of Anticipatory Postural Adjustments by Virtual Reality in Older Adults with Cognitive and Motor Deficits: A Randomised Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-045,34351363,PMC8581390,Long-term effect of a 24-week multicomponent intervention on physical performance and frailty in community-dwelling older adults.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-046,33968874,PMC8097036,Effectiveness of a Community-Based Muscle Strengthening Exercise Program to Increase Muscle Strength Among Pre-frail Older Persons in Malaysia: A Pilot Study.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-047,33937294,PMC8086796,"Possible Sarcopenia and Impact of Dual-Task Exercise on Gait Speed, Handgrip Strength, Falls, and Perceived Health.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-048,33742266,PMC7978459,Effectiveness of Community-Delivered Functional Power Training Program for Frail and Pre-frail Community-Dwelling Older Adults: a Randomized Controlled Study.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-049,33583000,PMC7990826,The sarcopenia and physical frailty in older people: multi-component treatment strategies (SPRINTT) project: description and feasibility of a nutrition intervention in community-dwelling older Europeans.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-050,33546255,PMC7913348,Randomized Controlled Trial on the Effects of a Combined Intervention of Computerized Cognitive Training Preceded by Physical Exercise for Improving Frailty Status and Cognitive Function in Older Adults.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
