term,IRR,ci_lo,ci_hi,p
Intercept,0.9536156802850199,0.9076398974238847,1.0019203301513337,0.05958293035274119
C(sex)[T.male],0.8518023756702168,0.8374725934425634,0.8663773511857459,1.1834674677056877e-76
C(residence)[T.urban],1.1000642954320512,1.0722563489126704,1.1285934145426775,2.8661744009245415e-13
age_years,1.0123004599845038,1.0115987110946847,1.0130026956795144,1.2729849588609474e-261
education_years,1.0057033097035675,1.003694160699709,1.0077164805298873,2.4902691764748973e-08
poverty,0.9746667511829253,0.9527327182215826,0.9971057545234183,0.02713653077475538
current_smoking,0.8827726023360588,0.8599696613413534,0.9061801857284937,9.806842889984765e-21
current_smokeless_tobacco,0.958230190092851,0.9393084774112452,0.9775330674497634,2.7524654612628616e-05
unclean_cooking_fuel,0.8388766260333901,0.8210238505418292,0.8571176016881275,1.1292068430694052e-57
unimproved_sanitation,0.9393323018744969,0.9209350305534496,0.9580970905348042,5.589634141530112e-10
unimproved_drinking_water,1.1027810834357203,1.0658909272010588,1.1409479965995282,1.7425599730019076e-08
