domain,predictor,OR,ci_lo,ci_hi,p
Dysglycaemia,C(residence)[T.urban],1.414,1.291,1.55,1.112029542474251e-13
Dysglycaemia,education_years,1.029,1.021,1.036,3.066243299906681e-14
Dysglycaemia,poverty,0.842,0.763,0.93,0.0006355745375042736
Dysglycaemia,current_smoking,0.686,0.619,0.76,5.194034625131187e-13
Dysglycaemia,current_smokeless_tobacco,0.766,0.703,0.834,8.314114399050577e-10
Dysglycaemia,unclean_cooking_fuel,0.511,0.468,0.559,1.7723694171930952e-49
Dysglycaemia,unimproved_drinking_water,1.276,1.137,1.432,3.510273714102585e-05
Hypertension(meas),C(residence)[T.urban],1.199,1.117,1.287,5.354319810787911e-07
Hypertension(meas),education_years,1.008,1.002,1.014,0.012835249284770143
Hypertension(meas),poverty,0.961,0.898,1.029,0.2530344561619837
Hypertension(meas),current_smoking,0.82,0.761,0.883,1.3755695615202067e-07
Hypertension(meas),current_smokeless_tobacco,1.028,0.966,1.094,0.3842871461844174
Hypertension(meas),unclean_cooking_fuel,0.798,0.75,0.849,9.679337411916114e-13
Hypertension(meas),unimproved_drinking_water,1.119,1.018,1.23,0.020251403692771168
Central obesity,C(residence)[T.urban],1.565,1.437,1.704,5.392748123328719e-25
Central obesity,education_years,1.074,1.066,1.081,4.477995831549908e-87
Central obesity,poverty,0.628,0.583,0.675,9.25346039747409e-36
Central obesity,current_smoking,0.655,0.605,0.708,4.2961456181483806e-26
Central obesity,current_smokeless_tobacco,0.726,0.68,0.776,3.9542392995251615e-21
Central obesity,unclean_cooking_fuel,0.524,0.489,0.561,4.3042344314562776e-75
Central obesity,unimproved_drinking_water,1.313,1.165,1.479,7.572693994185874e-06
Anaemia,C(residence)[T.urban],0.875,0.805,0.952,0.0017854520895812349
Anaemia,education_years,0.991,0.984,0.997,0.006671788306199708
Anaemia,poverty,1.15,1.072,1.234,0.00010443668827446412
Anaemia,current_smoking,0.967,0.894,1.046,0.400820952484641
Anaemia,current_smokeless_tobacco,1.085,1.018,1.157,0.011679564516961154
Anaemia,unclean_cooking_fuel,1.078,1.01,1.151,0.0236180648155842
Anaemia,unimproved_drinking_water,0.978,0.87,1.098,0.7045888357464929
Low grip,C(residence)[T.urban],0.976,0.865,1.101,0.691103631311694
Low grip,education_years,0.94,0.932,0.949,1.7774913190563212e-42
Low grip,poverty,1.161,1.068,1.261,0.00042915198180278264
Low grip,current_smoking,0.839,0.764,0.921,0.00021714132443259644
Low grip,current_smokeless_tobacco,0.876,0.809,0.948,0.0010071101932110922
Low grip,unclean_cooking_fuel,0.886,0.805,0.975,0.012917548307791786
Low grip,unimproved_drinking_water,1.431,1.225,1.672,6.037590886068443e-06
Low lung reserve,C(residence)[T.urban],1.331,1.202,1.474,3.579798685133952e-08
Low lung reserve,education_years,0.989,0.981,0.997,0.007246629350167379
Low lung reserve,poverty,1.088,0.991,1.195,0.07611100588520626
Low lung reserve,current_smoking,1.037,0.938,1.147,0.47723020975237285
Low lung reserve,current_smokeless_tobacco,1.013,0.93,1.103,0.768589642282398
Low lung reserve,unclean_cooking_fuel,0.816,0.747,0.892,7.632282737322725e-06
Low lung reserve,unimproved_drinking_water,1.232,1.064,1.427,0.005256133646197453
Inflammation,C(residence)[T.urban],1.254,1.139,1.381,3.991663139428025e-06
Inflammation,education_years,0.986,0.977,0.996,0.0038138636582670943
Inflammation,poverty,1.076,0.97,1.192,0.16537971658697082
Inflammation,current_smoking,1.173,1.045,1.316,0.006779134793701048
Inflammation,current_smokeless_tobacco,0.818,0.74,0.904,8.567710862575272e-05
Inflammation,unclean_cooking_fuel,0.864,0.792,0.944,0.0011458381755781663
Inflammation,unimproved_drinking_water,1.056,0.902,1.236,0.49737632112551433
