"param","sex","refht","lnht_coef","age","L","M","S"
"fvc","M",162.5,2.038,45,1.1172,3.0137,0.198
"fvc","M",162.5,2.038,46,1.1105,2.993,0.1985
"fvc","M",162.5,2.038,47,1.1039,2.9725,0.199
"fvc","M",162.5,2.038,48,1.0972,2.952,0.1995
"fvc","M",162.5,2.038,49,1.0905,2.9315,0.2001
"fvc","M",162.5,2.038,50,1.0838,2.911,0.2007
"fvc","M",162.5,2.038,51,1.0772,2.8904,0.2013
"fvc","M",162.5,2.038,52,1.0705,2.8697,0.2019
"fvc","M",162.5,2.038,53,1.0638,2.8489,0.2025
"fvc","M",162.5,2.038,54,1.0572,2.8278,0.2032
"fvc","M",162.5,2.038,55,1.0505,2.8065,0.204
"fvc","M",162.5,2.038,56,1.0438,2.7849,0.2048
"fvc","M",162.5,2.038,57,1.0371,2.7631,0.2056
"fvc","M",162.5,2.038,58,1.0305,2.7411,0.2065
"fvc","M",162.5,2.038,59,1.0238,2.7188,0.2074
"fvc","M",162.5,2.038,60,1.0171,2.6963,0.2083
"fvc","M",162.5,2.038,61,1.0105,2.6735,0.2093
"fvc","M",162.5,2.038,62,1.0038,2.6506,0.2103
"fvc","M",162.5,2.038,63,0.9971,2.6273,0.2113
"fvc","M",162.5,2.038,64,0.9904,2.6039,0.2124
"fvc","M",162.5,2.038,65,0.9838,2.5802,0.2135
"fvc","M",162.5,2.038,66,0.9771,2.5562,0.2146
"fvc","M",162.5,2.038,67,0.9704,2.5322,0.2158
"fvc","M",162.5,2.038,68,0.9638,2.5081,0.2169
"fvc","M",162.5,2.038,69,0.9571,2.4841,0.2181
"fvc","M",162.5,2.038,70,0.9504,2.4602,0.2193
"fvc","M",162.5,2.038,71,0.9438,2.4366,0.2205
"fvc","M",162.5,2.038,72,0.9371,2.4131,0.2217
"fvc","M",162.5,2.038,73,0.9304,2.39,0.2229
"fvc","M",162.5,2.038,74,0.9237,2.3672,0.2241
"fvc","M",162.5,2.038,75,0.9171,2.3447,0.2253
"fvc","M",162.5,2.038,76,0.9104,2.3225,0.2265
"fvc","M",162.5,2.038,77,0.9037,2.3006,0.2277
"fvc","M",162.5,2.038,78,0.8971,2.2791,0.229
"fvc","M",162.5,2.038,79,0.8904,2.2578,0.2302
"fvc","M",162.5,2.038,80,0.8837,2.2369,0.2315
"fvc","M",162.5,2.038,81,0.8771,2.2162,0.2327
"fvc","M",162.5,2.038,82,0.8704,2.1957,0.234
"fvc","M",162.5,2.038,83,0.8637,2.1755,0.2353
"fvc","M",162.5,2.038,84,0.8571,2.1554,0.2367
"fvc","M",162.5,2.038,85,0.8504,2.1356,0.238
"fvc","M",162.5,2.038,86,0.8437,2.116,0.2394
"fvc","M",162.5,2.038,87,0.8371,2.0965,0.2407
"fvc","M",162.5,2.038,88,0.8304,2.0772,0.2421
"fvc","M",162.5,2.038,89,0.8237,2.0581,0.2435
"fvc","M",162.5,2.038,90,0.8171,2.0391,0.245
"fvc","F",150.6,2.0143,45,0.689,2.1636,0.2059
"fvc","F",150.6,2.0143,46,0.7045,2.1494,0.206
"fvc","F",150.6,2.0143,47,0.7199,2.1353,0.206
"fvc","F",150.6,2.0143,48,0.7353,2.1217,0.2061
"fvc","F",150.6,2.0143,49,0.7507,2.1083,0.2062
"fvc","F",150.6,2.0143,50,0.7662,2.0955,0.2062
"fvc","F",150.6,2.0143,51,0.7816,2.0829,0.2063
"fvc","F",150.6,2.0143,52,0.797,2.0707,0.2064
"fvc","F",150.6,2.0143,53,0.8125,2.0587,0.2065
"fvc","F",150.6,2.0143,54,0.8279,2.0468,0.2067
"fvc","F",150.6,2.0143,55,0.8433,2.0349,0.2069
"fvc","F",150.6,2.0143,56,0.8587,2.0229,0.2072
"fvc","F",150.6,2.0143,57,0.8742,2.0105,0.2075
"fvc","F",150.6,2.0143,58,0.8896,1.9975,0.208
"fvc","F",150.6,2.0143,59,0.905,1.984,0.2085
"fvc","F",150.6,2.0143,60,0.9205,1.9696,0.2091
"fvc","F",150.6,2.0143,61,0.9359,1.9546,0.2098
"fvc","F",150.6,2.0143,62,0.9513,1.939,0.2105
"fvc","F",150.6,2.0143,63,0.9668,1.9227,0.2113
"fvc","F",150.6,2.0143,64,0.9822,1.9059,0.2121
"fvc","F",150.6,2.0143,65,0.9976,1.8885,0.213
"fvc","F",150.6,2.0143,66,1.013,1.8707,0.2138
"fvc","F",150.6,2.0143,67,1.0285,1.8524,0.2147
"fvc","F",150.6,2.0143,68,1.0439,1.8339,0.2155
"fvc","F",150.6,2.0143,69,1.0593,1.8152,0.2164
"fvc","F",150.6,2.0143,70,1.0747,1.7965,0.2172
"fvc","F",150.6,2.0143,71,1.0902,1.7777,0.218
"fvc","F",150.6,2.0143,72,1.1056,1.759,0.2188
"fvc","F",150.6,2.0143,73,1.121,1.7403,0.2195
"fvc","F",150.6,2.0143,74,1.1364,1.7218,0.2203
"fvc","F",150.6,2.0143,75,1.1519,1.7035,0.221
"fvc","F",150.6,2.0143,76,1.1673,1.6854,0.2217
"fvc","F",150.6,2.0143,77,1.1827,1.6675,0.2223
"fvc","F",150.6,2.0143,78,1.1981,1.65,0.223
"fvc","F",150.6,2.0143,79,1.2136,1.6329,0.2236
"fvc","F",150.6,2.0143,80,1.229,1.6162,0.2242
"fvc","F",150.6,2.0143,81,1.2444,1.5999,0.2248
"fvc","F",150.6,2.0143,82,1.2598,1.5839,0.2254
"fvc","F",150.6,2.0143,83,1.2753,1.5684,0.2261
"fvc","F",150.6,2.0143,84,1.2907,1.5531,0.2267
"fvc","F",150.6,2.0143,85,1.3061,1.5382,0.2273
"fvc","F",150.6,2.0143,86,1.3215,1.5235,0.2279
"fvc","F",150.6,2.0143,87,1.337,1.5091,0.2286
"fvc","F",150.6,2.0143,88,1.3524,1.4949,0.2292
"fvc","F",150.6,2.0143,89,1.3678,1.4809,0.2299
"fvc","F",150.6,2.0143,90,1.3832,1.4671,0.2305
