parameter,value,unit,year,source,url
pop_60plus_india,149000000,persons,2022,"UNFPA India & IIPS, India Ageing Report 2023 (""Caring for Our Elders: Institutional Responses"")",https://india.unfpa.org/sites/default/files/pub-pdf/20230926_india_ageing_report_2023_web_version_.pdf
pop_70plus_india,60000000,persons,2024,"Government of India estimate accompanying the AB PM-JAY 70+ Cabinet decision (PIB Press Release, 11 Sep 2024); best-available official figure, not a standalone Census/demographic publication",https://www.pib.gov.in/PressReleasesPage.aspx?PRID=2053883
pmjay_70plus_families,45000000,families,2024,"Press Information Bureau, Cabinet approval of AB PM-JAY coverage for senior citizens 70+ (11 Sep 2024); ~4.5 crore families covering ~6 crore (60 million) senior citizens",https://www.pib.gov.in/PressReleasesPage.aspx?PRID=2053883
pmjay_family_cover,500000,INR/year,2024,"National Health Authority / PIB, AB PM-JAY scheme parameters (cover up to Rs 5 lakh per family per year, family-floater basis)",https://nha.gov.in/PM-JAY
ignoaps_pension_60_79,200,INR/month,2024,"Ministry of Rural Development, National Social Assistance Programme (NSAP) — Indira Gandhi National Old Age Pension Scheme (IGNOAPS) central rate; states commonly top this up (e.g. to Rs 200-1000 total)",https://nsap.nic.in/circular.do?method=faq
ignoaps_pension_80plus,500,INR/month,2024,"Ministry of Rural Development, National Social Assistance Programme (NSAP) — IGNOAPS central rate for beneficiaries aged 80 and above; states commonly top this up",https://nsap.nic.in/circular.do?method=faq
care_worker_wage_hour,97.9,INR/hour,2024,"ASSUMPTION derived from Central Government unskilled-worker minimum wage (Variable Dearness Allowance revision effective 1 Oct 2024): Rs 783/day for an 8-hour day = Rs 97.9/hour; used as a proxy for home care / domestic worker wage in absence of a dedicated care-worker wage notification",https://cleartax.in/s/minimum-wages-in-india
nsso75_oop_hosp_avg,16676,INR,2017-18,"NSSO 75th Round, ""Health in India"" (Report No. 586), Ministry of Statistics and Programme Implementation — average medical expenditure per hospitalisation case (excluding childbirth), RURAL sector (urban = Rs 26,475; combined not separately published in summary release)",https://mospi.gov.in/sites/default/files/announcements/Summary%20Analysis_Report_586_Health.pdf
nsso75_oop_outpatient_avg,568,INR,2017-18,"NSSO 75th Round, ""Health in India"" (Report No. 586) — average medical expenditure per episode of non-hospitalised treatment (15-day reference period), RURAL sector estimate (urban = Rs 767); LOW-CONFIDENCE: official MOSPI summary PDF could not be parsed for the all-India headline figure, so this is a best-sourced cross-validated estimate (consistent with Rs 552/episode reported for informal-provider users and Rs 785 reported for the 60+ subgroup from the same survey round) — flagged for re-verification against the full NSSO unit-level tables",https://www.granthaalayahpublication.org/journals/granthaalayah/article/view/4401
who_che_method_ref,"Xu K, Evans DB, Kawabata K, Zeramdini R, Klavus J, Murray CJL. Household catastrophic health expenditure: a multicountry analysis. Lancet. 2003;362(9378):111-117; Wagstaff A, van Doorslaer E. Catastrophe and impoverishment in paying for health care: with applications to Vietnam 1993-1998. Health Econ. 2003;12(11):921-933.",citation,2003,"WHO / health-economics literature — defines the capacity-to-pay (non-food/non-subsistence expenditure) method and the 40% catastrophic-health-expenditure threshold used in this project's CHE indicators",https://doi.org/10.1016/S0140-6736(03)13861-5
