sex,age,height,FEV1_median,FEV1_LLN,FVC_median,FVC_LLN
M,50,155,2.15,1.39,2.64,1.76
M,60,155,1.95,1.23,2.45,1.61
M,70,155,1.74,1.06,2.23,1.44
M,80,155,1.56,0.91,2.03,1.28
M,50,160,2.28,1.48,2.82,1.87
M,60,160,2.07,1.3,2.61,1.71
M,70,160,1.85,1.12,2.38,1.53
M,80,160,1.65,0.97,2.17,1.36
M,50,165,2.41,1.56,3.0,2.0
M,60,165,2.19,1.37,2.78,1.83
M,70,165,1.95,1.19,2.54,1.63
M,80,165,1.74,1.02,2.31,1.45
M,50,170,2.54,1.65,3.19,2.12
M,60,170,2.31,1.45,2.96,1.94
M,70,170,2.06,1.25,2.7,1.73
M,80,170,1.84,1.08,2.45,1.54
M,50,175,2.68,1.74,3.39,2.25
M,60,175,2.44,1.53,3.14,2.06
M,70,175,2.17,1.32,2.86,1.84
M,80,175,1.94,1.14,2.6,1.64
F,50,145,1.58,1.03,1.94,1.31
F,60,145,1.47,0.92,1.82,1.21
F,70,145,1.32,0.79,1.66,1.06
F,80,145,1.19,0.67,1.5,0.92
F,50,150,1.69,1.1,2.08,1.4
F,60,150,1.57,0.98,1.95,1.29
F,70,150,1.41,0.85,1.78,1.14
F,80,150,1.27,0.72,1.6,0.98
F,50,155,1.8,1.17,2.22,1.5
F,60,155,1.67,1.05,2.09,1.38
F,70,155,1.5,0.9,1.9,1.21
F,80,155,1.35,0.77,1.71,1.05
F,50,160,1.91,1.25,2.37,1.6
F,60,160,1.77,1.11,2.23,1.47
F,70,160,1.6,0.96,2.03,1.29
F,80,160,1.44,0.81,1.83,1.12
F,50,165,2.03,1.32,2.52,1.7
F,60,165,1.88,1.18,2.37,1.57
F,70,165,1.7,1.02,2.16,1.38
F,80,165,1.52,0.86,1.94,1.19
