state,deai_real_z,rank
Odisha,2.055678855672724,1
Jharkhand,1.773444097782523,2
Bihar,1.6600934640386975,3
Uttar Pradesh,1.3848713811972284,4
Assam,1.2054544174199011,5
Chhattisgarh,1.204608999867302,6
Manipur,1.1180629032428504,7
Madhya Pradesh,0.7642349881277882,8
Dadra & Nagar Haveli,0.7319411896984918,9
Tripura,0.6937459861130156,10
Rajasthan,0.5062559456460938,11
INDIA,0.444914792417393,12
West Bengal,0.36124733743710763,13
Karnataka,0.3470987491950129,14
Gujarat,0.1783894713872765,15
Meghalaya,0.1670709551896899,16
Haryana,0.10512186009871925,17
Telangana,0.07282798369858799,18
Arunachal Pradesh,0.055464121335798026,19
Nagaland,-0.07092832133806606,20
Andaman & Nicobar Islands,-0.07867388024246139,21
Maharashtra,-0.3476442815016085,22
Andhra Pradesh,-0.44314146726932857,23
Uttarakhand,-0.4580583037449035,24
Jammu & Kashmir,-0.4757427283504678,25
Punjab,-0.5074551879589972,26
Mizoram,-0.5883261413988062,27
Lakshadweep,-0.6173600716054862,28
Tamil Nadu,-0.7150283324253258,29
Daman & Diu,-0.8156592958475802,30
Sikkim **,-0.8638120778408913,31
Himachal Pradesh,-0.8958621553267555,32
Goa,-1.3362685585989922,33
Puducherry,-1.4341662453280426,34
Kerala,-1.5472133366908838,35
Delhi,-1.5970449151269082,36
Chandigarh,-2.0381421989706943,37
