outcome,model,auc,average_precision,brier_score,n,n_events,nri_vs_m0
frailty_index_binary,M0_age_only,0.8191232373356263,0.8059332930013048,0.19839283814837644,5000,2521,
frailty_index_binary,M1_age_covariates,0.8589410868830905,0.8546807396758249,0.16512522913833264,5000,2521,
frailty_index_binary,M2_deai_only,0.8025577484747323,0.7871447445057539,0.2246792115039143,5000,2521,
frailty_index_binary,M3_age_deai,0.9221938699994671,0.9279775791668321,0.11329562851994651,5000,2521,1.3213501944697217
frailty_index_binary,M4_full_xgboost,0.8823035353374534,0.884820695175065,0.14009866815651695,5000,2521,
multimorbidity_binary,M0_age_only,0.643415641863844,0.7971484718046438,0.19939804586003407,5000,3504,
multimorbidity_binary,M1_age_covariates,0.6539483905330501,0.8014548184235151,0.19701764572588523,5000,3504,
multimorbidity_binary,M2_deai_only,0.5343293684223378,0.7219679328758104,0.20958761063988524,5000,3504,
multimorbidity_binary,M3_age_deai,0.6374407094718335,0.7921881792877232,0.20392119623138333,5000,3504,-0.20833638561277557
multimorbidity_binary,M4_full_xgboost,0.6117922145508266,0.7801318280043243,0.20874175861767252,5000,3504,
disability_binary,M0_age_only,0.6847958429705091,0.8087164784642658,0.1950356877691616,5000,3443,
disability_binary,M1_age_covariates,0.6838802063367614,0.809198198228529,0.19526021059296195,5000,3443,
disability_binary,M2_deai_only,0.5447218122983142,0.7199040136894959,0.21426875006871246,5000,3443,
disability_binary,M3_age_deai,0.6843059862321528,0.8085510211442511,0.19514544286607124,5000,3443,-0.061623455370338975
disability_binary,M4_full_xgboost,0.6585865487876604,0.7855185892323053,0.20241981387064473,5000,3443,
srh_poor_binary,M0_age_only,0.6621521408313591,0.6254518880103711,0.23037611342010506,5000,2419,
srh_poor_binary,M1_age_covariates,0.6570446992434777,0.6195058178946196,0.2316791385288313,5000,2419,
srh_poor_binary,M2_deai_only,0.5427158013396143,0.5210671407755911,0.24846942416939768,5000,2419,
srh_poor_binary,M3_age_deai,0.6612434268998223,0.6265173235790025,0.23042398939122533,5000,2419,0.09962041752950573
srh_poor_binary,M4_full_xgboost,0.6260674605774157,0.589142581111116,0.24216506926183007,5000,2419,
mortality_5yr_binary,M0_age_only,0.7776237244399025,0.3374287217761963,0.12503886179470583,5000,767,
mortality_5yr_binary,M1_age_covariates,0.8020023956551722,0.4040694594721771,0.10837411932923492,5000,767,
mortality_5yr_binary,M2_deai_only,0.6314538004768517,0.24304838903407994,0.12613498247894644,5000,767,
mortality_5yr_binary,M3_age_deai,0.8080337301348967,0.4230643670808062,0.10699699171142145,5000,767,0.827831611744932
mortality_5yr_binary,M4_full_xgboost,0.7732511455439057,0.3599763421926113,0.11484489262659422,5000,767,
